"level" "taxa" "taxashort" "hex" "R" "G" "B" "taxaSilva" "taxaSilvaCorrected"
"3" "k__Bacteria;p__Gemmatimonadetes;c__Gemm-3" "Gemm-3" "#95B0B9" "0.586206896551724" "0.689655172413793" "0.724137931034483" "Bacteria.Gemmatimonadetes.Gemm-3" "Bacteria.Gemmatimonadetes.Gemm-3"
"3" "k__Bacteria;p__Gemmatimonadetes;c__Gemm-5" "Gemm-5" "#B0B009" "0.689655172413793" "0.689655172413793" "0.0344827586206897" "Bacteria.Gemmatimonadetes.Gemm-5" "Bacteria.Gemmatimonadetes.Gemm-5"
"3" "k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes" "Gemmatimonadetes" "#2C004F" "0.172413793103448" "0" "0.310344827586207" "Bacteria.Gemmatimonadetes.Gemmatimonadetes" "Bacteria.Gemmatimonadetes.Gemmatimonadetes"
"3" "k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]" "[Lentisphaeria]" "#00CAFF" "0" "0.793103448275862" "1" "Bacteria.Lentisphaerae.[Lentisphaeria]" "Bacteria.Lentisphaerae.[Lentisphaeria]"
"3" "k__Bacteria;p__Nitrospirae;c__Nitrospira" "Nitrospira" "#4F2300" "0.310344827586207" "0.137931034482759" "0" "Bacteria.Nitrospirae.Nitrospira" "Bacteria.Nitrospirae.Nitrospira"
"3" "k__Bacteria;p__Planctomycetes;c__028H05-P-BN-P5" "028H05-P-BN-P5" "#00B9A7" "0" "0.724137931034483" "0.655172413793103" "Bacteria.Planctomycetes.028H05-P-BN-P5" "Bacteria.Planctomycetes.028H05-P-BN-P5"
"3" "k__Bacteria;p__Planctomycetes;c__Phycisphaerae" "Phycisphaerae" "#9E0035" "0.620689655172414" "0" "0.206896551724138" "Bacteria.Planctomycetes.Phycisphaerae" "Bacteria.Planctomycetes.Phycisphaerae"
"3" "k__Bacteria;p__Planctomycetes;c__Planctomycetia" "Planctomycetia" "#4F7BB0" "0.310344827586207" "0.482758620689655" "0.689655172413793" "Bacteria.Planctomycetes.Planctomycetia" "Bacteria.Planctomycetes.Planctomycetia"
"3" "k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria" "Alphaproteobacteria" "#1A46C1" "0.103448275862069" "0.275862068965517" "0.758620689655172" "Bacteria.Proteobacteria.Alphaproteobacteria" "Bacteria.Proteobacteria.Alphaproteobacteria"
"3" "k__Bacteria;p__Proteobacteria;c__Betaproteobacteria" "Betaproteobacteria" "#58D300" "0.344827586206897" "0.827586206896552" "0" "Bacteria.Proteobacteria.Betaproteobacteria" "Bacteria.Proteobacteria.Betaproteobacteria"
"3" "k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria" "Deltaproteobacteria" "#729535" "0.448275862068966" "0.586206896551724" "0.206896551724138" "Bacteria.Proteobacteria.Deltaproteobacteria" "Bacteria.Proteobacteria.Deltaproteobacteria"
"3" "k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria" "Epsilonproteobacteria" "#E5A735" "0.896551724137931" "0.655172413793103" "0.206896551724138" "Bacteria.Proteobacteria.Epsilonproteobacteria" "Bacteria.Proteobacteria.Epsilonproteobacteria"
"3" "k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria" "Gammaproteobacteria" "#F68D95" "0.96551724137931" "0.551724137931034" "0.586206896551724" "Bacteria.Proteobacteria.Gammaproteobacteria" "Bacteria.Proteobacteria.Gammaproteobacteria"
"3" "k__Bacteria;p__Spirochaetes;c__Spirochaetes" "Spirochaetes" "#6A128D" "0.413793103448276" "0.0689655172413793" "0.551724137931034" "Bacteria.Spirochaetes.Spirochaetes" "Bacteria.Spirochaetes.Spirochaetes"
"3" "k__Bacteria;p__TM6;c__SJA-4" "SJA-4" "#E561C1" "0.896551724137931" "0.379310344827586" "0.758620689655172" "Bacteria.TM6.SJA-4" "Bacteria.TM6.SJA-4"
"3" "k__Bacteria;p__Tenericutes;c__Mollicutes" "Mollicutes" "#EDD3FF" "0.931034482758621" "0.827586206896552" "1" "Bacteria.Tenericutes.Mollicutes" "Bacteria.Tenericutes.Mollicutes"
"3" "k__Bacteria;p__Tenericutes;c__RF3" "RF3" "#9EFF9E" "0.620689655172414" "1" "0.620689655172414" "Bacteria.Tenericutes.RF3" "Bacteria.Tenericutes.RF3"
"3" "k__Bacteria;p__Verrucomicrobia;c__Opitutae" "Opitutae" "#FF4FF6" "1" "0.310344827586207" "0.96551724137931" "Bacteria.Verrucomicrobia.Opitutae" "Bacteria.Verrucomicrobia.Opitutae"
"3" "k__Bacteria;p__Verrucomicrobia;c__Verruco-5" "Verruco-5" "#9561FF" "0.586206896551724" "0.379310344827586" "1" "Bacteria.Verrucomicrobia.Verruco-5" "Bacteria.Verrucomicrobia.Verruco-5"
"3" "k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae" "Verrucomicrobiae" "#C1B961" "0.758620689655172" "0.724137931034483" "0.379310344827586" "Bacteria.Verrucomicrobia.Verrucomicrobiae" "Bacteria.Verrucomicrobia.Verrucomicrobiae"
"3" "k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]" "[Pedosphaerae]" "#ED2C35" "0.931034482758621" "0.172413793103448" "0.206896551724138" "Bacteria.Verrucomicrobia.[Pedosphaerae]" "Bacteria.Verrucomicrobia.[Pedosphaerae]"
"3" "k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria]" "[Spartobacteria]" "#B06A84" "0.689655172413793" "0.413793103448276" "0.517241379310345" "Bacteria.Verrucomicrobia.[Spartobacteria]" "Bacteria.Verrucomicrobia.[Spartobacteria]"
"3" "k__Bacteria;p__[Thermi];c__Deinococci" "Deinococci" "#462C58" "0.275862068965517" "0.172413793103448" "0.344827586206897" "Bacteria.[Thermi].Deinococci" "Bacteria.[Thermi].Deinococci"
"4" "Unassigned;Other;Other;Other" "Unassigned;Other;Other;Other" "#0000FF" "0" "0" "1" "Unassigned.Other.Other.Other" "Unassigned.Other.Other.Other"
"4" "k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Nitrososphaerales" "Nitrososphaerales" "#FF0000" "1" "0" "0" "Archaea.Crenarchaeota.Thaumarchaeota.Nitrososphaerales" "Archaea.Crenarchaeota.Thaumarchaeota.Nitrososphaerales"
"4" "k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales" "Halobacteriales" "#00FF00" "0" "1" "0" "Archaea.Euryarchaeota.Halobacteria.Halobacteriales" "Archaea.Euryarchaeota.Halobacteria.Halobacteriales"
"4" "k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales" "Methanobacteriales" "#00002C" "0" "0" "0.172413793103448" "Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales" "Archaea.Euryarchaeota.Methanobacteria.Methanobacteriales"
"4" "k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2" "E2" "#FF1AB9" "1" "0.103448275862069" "0.724137931034483" "Archaea.Euryarchaeota.Thermoplasmata.E2" "Archaea.Euryarchaeota.Thermoplasmata.E2"
"4" "k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__CCU21" "CCU21" "#FFD300" "1" "0.827586206896552" "0" "Bacteria.Acidobacteria.Acidobacteria-6.CCU21" "Bacteria.Acidobacteria.Acidobacteria-6.CCU21"
"4" "k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15" "iii1-15" "#005800" "0" "0.344827586206897" "0" "Bacteria.Acidobacteria.Acidobacteria-6.iii1-15" "Bacteria.Acidobacteria.Acidobacteria-6.iii1-15"
"4" "k__Bacteria;p__Acidobacteria;c__Acidobacteriia;o__Acidobacteriales" "Acidobacteriales" "#8484FF" "0.517241379310345" "0.517241379310345" "1" "Bacteria.Acidobacteria.Acidobacteriia.Acidobacteriales" "Bacteria.Acidobacteria.Acidobacteriia.Acidobacteriales"
"4" "k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales" "Solibacterales" "#9E4F46" "0.620689655172414" "0.310344827586207" "0.275862068965517" "Bacteria.Acidobacteria.Solibacteres.Solibacterales" "Bacteria.Acidobacteria.Solibacteres.Solibacterales"
"4" "k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725" "Sva0725" "#00FFC1" "0" "1" "0.758620689655172" "Bacteria.Acidobacteria.Sva0725.Sva0725" "Bacteria.Acidobacteria.Sva0725.Sva0725"
"4" "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__11-24" "11-24" "#008495" "0" "0.517241379310345" "0.586206896551724" "Bacteria.Acidobacteria.[Chloracidobacteria].11-24" "Bacteria.Acidobacteria.[Chloracidobacteria].11-24"
"4" "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__DS-100" "DS-100" "#00007B" "0" "0" "0.482758620689655" "Bacteria.Acidobacteria.[Chloracidobacteria].DS-100" "Bacteria.Acidobacteria.[Chloracidobacteria].DS-100"
"4" "k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria];o__RB41" "RB41" "#95D34F" "0.586206896551724" "0.827586206896552" "0.310344827586207" "Bacteria.Acidobacteria.[Chloracidobacteria].RB41" "Bacteria.Acidobacteria.[Chloracidobacteria].RB41"
"4" "k__Bacteria;p__Acidobacteria;c__iii1-8;o__DS-18" "DS-18" "#F69EDC" "0.96551724137931" "0.620689655172414" "0.862068965517241" "Bacteria.Acidobacteria.iii1-8.DS-18" "Bacteria.Acidobacteria.iii1-8.DS-18"
"4" "k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales" "Acidimicrobiales" "#D312FF" "0.827586206896552" "0.0689655172413793" "1" "Bacteria.Actinobacteria.Acidimicrobiia.Acidimicrobiales" "Bacteria.Actinobacteria.Acidimicrobiia.Acidimicrobiales"
"4" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales" "Actinomycetales" "#7B1A6A" "0.482758620689655" "0.103448275862069" "0.413793103448276" "Bacteria.Actinobacteria.Actinobacteria.Actinomycetales" "Bacteria.Actinobacteria.Actinobacteria.Actinomycetales"
"4" "k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales" "Bifidobacteriales" "#F61261" "0.96551724137931" "0.0689655172413793" "0.379310344827586" "Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales" "Bacteria.Actinobacteria.Actinobacteria.Bifidobacteriales"
"4" "k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales" "Coriobacteriales" "#FFC184" "1" "0.758620689655172" "0.517241379310345" "Bacteria.Actinobacteria.Coriobacteriia.Coriobacteriales" "Bacteria.Actinobacteriota.Coriobacteriia.Coriobacteriales"
"4" "k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__" "" "#232309" "0.137931034482759" "0.137931034482759" "0.0344827586206897" "Bacteria.Actinobacteria.MB-A2-108." "Bacteria.Actinobacteria.MB-A2-108."
"4" "k__Bacteria;p__Actinobacteria;c__MB-A2-108;o__0319-7L14" "0319-7L14" "#8DA77B" "0.551724137931034" "0.655172413793103" "0.482758620689655" "Bacteria.Actinobacteria.MB-A2-108.0319-7L14" "Bacteria.Actinobacteria.MB-A2-108.0319-7L14"
"4" "k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Euzebyales" "Euzebyales" "#F68409" "0.96551724137931" "0.517241379310345" "0.0344827586206897" "Bacteria.Actinobacteria.Nitriliruptoria.Euzebyales" "Bacteria.Actinobacteria.Nitriliruptoria.Euzebyales"
"4" "k__Bacteria;p__Actinobacteria;c__Nitriliruptoria;o__Nitriliruptorales" "Nitriliruptorales" "#847200" "0.517241379310345" "0.448275862068966" "0" "Bacteria.Actinobacteria.Nitriliruptoria.Nitriliruptorales" "Bacteria.Actinobacteria.Nitriliruptoria.Nitriliruptorales"
"4" "k__Bacteria;p__Actinobacteria;c__Rubrobacteria;o__Rubrobacterales" "Rubrobacterales" "#72F6FF" "0.448275862068966" "0.96551724137931" "1" "Bacteria.Actinobacteria.Rubrobacteria.Rubrobacterales" "Bacteria.Actinobacteria.Rubrobacteria.Rubrobacterales"
"4" "k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales" "Gaiellales" "#9EC1FF" "0.620689655172414" "0.758620689655172" "1" "Bacteria.Actinobacteria.Thermoleophilia.Gaiellales" "Bacteria.Actinobacteria.Thermoleophilia.Gaiellales"
