r11	r22	rs1	rs2	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	uniqueRatio	sharedRatio
0.95	0.8	0.35	0.05	1	1	alldata	TRUE	FALSE	0.856874895999329	0.91706803914182	1.07024729446915	0.842105263157895	0.142857142857143
0.05	0.95	0.35	0.05	1	1	alldata	TRUE	FALSE	0.800088302689941	0.917062115999587	1.14620112919583	19	0.142857142857143
0.2	0.95	0.35	0.05	1	1	alldata	TRUE	FALSE	0.811682346376453	0.917063434332899	1.12983045452066	4.75	0.142857142857143
0.35	0.95	0.35	0.05	1	1	alldata	TRUE	FALSE	0.821129973133258	0.917064376871949	1.11683217867766	2.71428571428571	0.142857142857143
0.5	0.95	0.35	0.05	1	1	alldata	TRUE	FALSE	0.829059289908024	0.917065056086767	1.10615135401053	1.9	0.142857142857143
0.65	0.95	0.35	0.05	1	1	alldata	TRUE	FALSE	0.835847966040284	0.917065703451623	1.09716807447184	1.46153846153846	0.142857142857143
0.8	0.95	0.35	0.05	1	1	alldata	TRUE	FALSE	0.841731016805252	0.917066205547298	1.08950031214007	1.1875	0.142857142857143
0.95	0.95	0.35	0.05	1	1	alldata	TRUE	FALSE	0.846864473771866	0.917066629331437	1.08289656460248	1	0.142857142857143
0.05	0.05	0.5	0.05	1	1	alldata	TRUE	FALSE	0.899864908946271	0.917073305046232	1.01912331054237	1	0.1
0.2	0.05	0.5	0.05	1	1	alldata	TRUE	FALSE	0.900456331205234	0.917073411789501	1.01845406602009	0.25	0.1
0.35	0.05	0.5	0.05	1	1	alldata	TRUE	FALSE	0.900972476371625	0.917073499026482	1.01787071534049	0.142857142857143	0.1
0.5	0.05	0.5	0.05	1	1	alldata	TRUE	FALSE	0.901431711115991	0.917073580736734	1.01735225134401	0.1	0.1
0.65	0.05	0.5	0.05	1	1	alldata	TRUE	FALSE	0.901845052741797	0.917073657670733	1.01688605474149	0.0769230769230769	0.1
0.8	0.05	0.5	0.05	1	1	alldata	TRUE	FALSE	0.902220272315096	0.917073707244881	1.01646320237482	0.0625	0.1
0.95	0.05	0.5	0.05	1	1	alldata	TRUE	FALSE	0.902563043885348	0.917073775998025	1.01607725046021	0.0526315789473684	0.1
0.05	0.2	0.5	0.05	1	1	alldata	TRUE	FALSE	0.896768325114731	0.917072943246659	1.02264198853068	4	0.1
0.2	0.2	0.5	0.05	1	1	alldata	TRUE	FALSE	0.897613306403341	0.917073088297143	1.02167947127675	1	0.1
0.35	0.2	0.5	0.05	1	1	alldata	TRUE	FALSE	0.898342633778488	0.917073192861833	1.02085012820171	0.571428571428572	0.1
0.5	0.2	0.5	0.05	1	1	alldata	TRUE	FALSE	0.898985491102539	0.917073299471899	1.02012024504108	0.4	0.1
0.65	0.2	0.5	0.05	1	1	alldata	TRUE	FALSE	0.899559463904334	0.917073381694672	1.01946943864536	0.307692307692308	0.1
0.8	0.2	0.5	0.05	1	1	alldata	TRUE	FALSE	0.90009897502978	0.917073441926817	1.01885844486877	0.25	0.1
0.95	0.2	0.5	0.05	1	1	alldata	TRUE	FALSE	0.900568255382265	0.917073520014441	1.01832761096511	0.210526315789474	0.1
0.05	0.35	0.5	0.05	1	1	alldata	TRUE	FALSE	0.89291248765925	0.917072563500178	1.02705760774414	7	0.1
0.2	0.35	0.5	0.05	1	1	alldata	TRUE	FALSE	0.894093145165337	0.917072679243889	1.02570149900244	1.75	0.1
0.35	0.35	0.5	0.05	1	1	alldata	TRUE	FALSE	0.895103067269867	0.91707286031847	1.02454442829205	1	0.1
0.5	0.35	0.5	0.05	1	1	alldata	TRUE	FALSE	0.895986591930686	0.917072974125611	1.02353426087492	0.7	0.1
0.65	0.35	0.5	0.05	1	1	alldata	TRUE	FALSE	0.896769658624316	0.917073069984772	1.02264060917449	0.538461538461539	0.1
0.8	0.35	0.5	0.05	1	1	alldata	TRUE	FALSE	0.897471194787494	0.917073142802217	1.02184131159704	0.4375	0.1
0.95	0.35	0.5	0.05	1	1	alldata	TRUE	FALSE	0.898104136338833	0.91707323188273	1.02112126509207	0.368421052631579	0.1
