"Bacteria;Firmicutes;Bacilli"	"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Chloroflexi;Anaerolineae"	"Bacteria;Cyanobacteria;Cyanobacteriia"
"16S-A-B2-L0_e0049-5-0-A-B2"	12338	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L1_e0049-8-1-A-B2"	8356	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L2_e0050-A-5-2-A-B2"	2190	5312	8307	3110	619	173	44	0	0	0	0	0
"16S-A-B2-L3_e0050-B-5-3-A-B2"	1722	4394	5429	3140	0	76	43	7	0	0	0	0
"16S-A-B2-L4_e0049-3-4-A-B2"	9032	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B2-L5_e0050-A-3-5-A-B2"	1903	4274	8179	3064	338	145	34	3	0	0	0	0
"16S-A-B2-L6_e0050-B-3-6-A-B2"	2028	3356	5275	2936	0	111	65	18	0	0	0	0
"16S-A-B2-L7_e0050-8-7-A-B2"	637	3472	4325	1758	67	192	9	0	0	0	0	0
"16S-A-B3-L0_e0049-5-0-A-B3"	11694	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B3-L1_e0049-8-1-A-B3"	11926	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B3-L2_e0050-A-5-2-A-B3"	3232	4475	11297	2591	13	104	39	0	0	0	0	0
"16S-A-B3-L3_e0050-B-5-3-A-B3"	1987	5137	6708	3264	4	75	28	27	0	0	0	0
"16S-A-B3-L4_e0049-3-4-A-B3"	8770	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B3-L5_e0050-A-3-5-A-B3"	1598	3297	8183	1978	305	105	28	0	0	0	0	0
"16S-A-B3-L6_e0050-B-3-6-A-B3"	1336	2326	4159	2133	26	79	49	15	0	0	0	0
"16S-A-B3-L7_e0050-8-7-A-B3"	783	2252	3697	947	0	83	10	0	0	0	0	0
"16S-A-B4-L0_e0049-5-0-A-B4"	61	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B4-L1_e0049-8-1-A-B4"	76	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B4-L2_e0050-A-5-2-A-B4"	14	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B4-L3_e0050-B-5-3-A-B4"	35	3	0	0	0	0	0	0	0	0	0	0
"16S-A-B4-L4_e0049-3-4-A-B4"	34	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B4-L5_e0050-A-3-5-A-B4"	81	2	0	0	0	0	0	0	0	0	0	0
"16S-A-B4-L6_e0050-B-3-6-A-B4"	68	9	0	0	0	0	0	0	0	0	0	0
"16S-A-B4-L7_e0050-8-7-A-B4"	0	0	4	0	0	0	0	0	0	0	0	0
"16S-A-B5-L0_e0049-5-0-A-B5"	7939	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B5-L1_e0049-8-1-A-B5"	6923	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B5-L2_e0050-A-5-2-A-B5"	1911	4543	7658	2856	357	175	58	0	0	0	0	0
"16S-A-B5-L3_e0050-B-5-3-A-B5"	2361	4937	5835	2338	75	180	42	0	0	0	0	0
"16S-A-B5-L4_e0049-3-4-A-B5"	7584	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B5-L5_e0050-A-3-5-A-B5"	1066	2264	4498	1747	189	104	38	0	0	0	0	0
"16S-A-B5-L6_e0050-B-3-6-A-B5"	941	1792	3145	1106	185	117	26	0	0	0	0	0
"16S-A-B5-L7_e0050-8-7-A-B5"	94	2202	3247	1290	146	237	7	0	0	0	0	0
"16S-A-B6-L0_e0049-5-0-A-B6"	3312	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B6-L1_e0049-8-1-A-B6"	941	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B6-L2_e0050-A-5-2-A-B6"	541	939	2128	757	23	37	16	0	0	0	0	0
"16S-A-B6-L3_e0050-B-5-3-A-B6"	1031	1676	2013	901	50	46	14	0	0	0	0	0
"16S-A-B6-L4_e0049-3-4-A-B6"	4173	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B6-L5_e0050-A-3-5-A-B6"	715	1123	1670	759	0	56	12	0	0	0	0	0
"16S-A-B6-L6_e0050-B-3-6-A-B6"	603	1079	1269	502	92	37	13	0	0	0	0	0
"16S-A-B6-L7_e0050-8-7-A-B6"	684	846	1293	480	26	43	0	0	0	0	0	0
"16S-A-B7-L0_e0049-5-0-A-B7"	5954	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B7-L1_e0049-8-1-A-B7"	2265	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B7-L2_e0050-A-5-2-A-B7"	1823	2976	7128	2355	162	111	46	0	0	0	0	0
"16S-A-B7-L3_e0050-B-5-3-A-B7"	1348	2609	5208	1388	91	81	23	0	0	0	0	0
"16S-A-B7-L4_e0049-3-4-A-B7"	5067	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B7-L5_e0050-A-3-5-A-B7"	620	1869	2797	1074	243	116	18	0	0	0	0	0
"16S-A-B7-L6_e0050-B-3-6-A-B7"	1341	2161	3214	1098	145	89	21	0	0	0	0	0
"16S-A-B7-L7_e0050-8-7-A-B7"	929	1676	2240	975	74	92	5	0	0	0	0	0
"16S-A-B8-L0_e0049-5-0-A-B8"	56	2	0	4	0	0	0	0	5	0	7	0
"16S-A-B8-L2_e0050-A-5-2-A-B8"	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B8-L3_e0050-B-5-3-A-B8"	72	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B8-L4_e0049-3-4-A-B8"	40	2	0	0	0	0	0	0	0	0	0	0
"16S-A-B8-L5_e0050-A-3-5-A-B8"	58	2	0	0	0	0	0	0	0	0	0	0
"16S-A-B8-L6_e0050-B-3-6-A-B8"	56	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B9-L0_e0049-5-0-A-B9"	10018	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B9-L1_e0049-8-1-A-B9"	15	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B9-L2_e0050-A-5-2-A-B9"	0	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B9-L3_e0050-B-5-3-A-B9"	5	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B9-L4_e0049-3-4-A-B9"	6511	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B9-L5_e0050-A-3-5-A-B9"	14	0	0	0	0	0	0	0	0	0	0	0
"16S-A-B9-L6_e0050-B-3-6-A-B9"	24	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C1-L0_e0049-5-0-A-C1"	7388	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C1-L1_e0049-8-1-A-C1"	5653	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C1-L2_e0050-A-5-2-A-C1"	1036	5885	9876	2627	0	204	19	0	0	0	0	0
"16S-A-C1-L3_e0050-B-5-3-A-C1"	1892	4083	8777	4193	0	108	50	10	0	0	0	0
"16S-A-C1-L4_e0049-3-4-A-C1"	7138	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C1-L5_e0050-A-3-5-A-C1"	369	4544	7459	2955	633	260	25	4	0	0	0	0
"16S-A-C1-L6_e0050-B-3-6-A-C1"	1572	2773	5596	2672	0	126	58	6	0	0	0	0
"16S-A-C1-L7_e0050-8-7-A-C1"	59	2377	6048	1302	6	212	5	0	0	0	0	0
"16S-A-C10-L0_e0049-5-0-A-C10"	13279	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C10-L2_e0050-A-5-2-A-C10"	2010	5122	8675	2923	266	179	57	0	0	0	0	0
"16S-A-C10-L3_e0050-B-5-3-A-C10"	14507	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C10-L4_e0049-3-4-A-C10"	8321	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C10-L5_e0050-A-3-5-A-C10"	962	1301	2231	921	192	56	7	0	0	0	0	0
"16S-A-C10-L6_e0050-B-3-6-A-C10"	6381	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C10-L7_e0050-8-7-A-C10"	1334	1950	2798	1078	174	87	15	0	0	0	0	0
"16S-A-C11-L0_e0049-5-0-A-C11"	10657	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C11-L2_e0050-A-5-2-A-C11"	2087	3904	5892	2154	146	121	34	0	0	0	0	0
"16S-A-C11-L3_e0050-B-5-3-A-C11"	12451	0	0	0	0	0	0	0	0	0	0	0
"16S-A-C11-L4_e0049-3-4-A-C11"	6870	0	0	0	0	0	0	0	0	0	0	0
