"Bacteria;Firmicutes"	"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Chloroflexi"	"Bacteria;Cyanobacteria"
"16S-A-B5-L2_e0050-A-5-2-A-B5"	4942	4543	7658	357	58	0	0	0
"16S-A-B5-L3_e0050-B-5-3-A-B5"	4879	4937	5835	75	42	0	0	0
"16S-A-B5-L4_e0049-3-4-A-B5"	7584	0	0	0	0	0	0	0
"16S-A-B5-L5_e0050-A-3-5-A-B5"	2917	2264	4498	189	38	0	0	0
"16S-A-B5-L6_e0050-B-3-6-A-B5"	2164	1792	3145	185	26	0	0	0
"16S-A-B5-L7_e0050-8-7-A-B5"	1621	2202	3247	146	7	0	0	0
"16S-A-B6-L0_e0049-5-0-A-B6"	3312	0	0	0	0	0	0	0
"16S-A-B6-L1_e0049-8-1-A-B6"	941	0	0	0	0	0	0	0
"16S-A-B6-L2_e0050-A-5-2-A-B6"	1335	939	2128	23	16	0	0	0
"16S-A-B6-L3_e0050-B-5-3-A-B6"	1978	1676	2013	50	14	0	0	0
"16S-A-B6-L4_e0049-3-4-A-B6"	4173	0	0	0	0	0	0	0
"16S-A-B6-L5_e0050-A-3-5-A-B6"	1530	1123	1670	0	12	0	0	0
"16S-A-B6-L6_e0050-B-3-6-A-B6"	1142	1079	1269	92	13	0	0	0
"16S-A-B6-L7_e0050-8-7-A-B6"	1207	846	1293	26	0	0	0	0
"16S-A-B7-L0_e0049-5-0-A-B7"	5954	0	0	0	0	0	0	0
"16S-A-B7-L1_e0049-8-1-A-B7"	2265	0	0	0	0	0	0	0
"16S-A-B7-L2_e0050-A-5-2-A-B7"	4289	2976	7128	162	46	0	0	0
"16S-A-B7-L3_e0050-B-5-3-A-B7"	2817	2609	5208	91	23	0	0	0
"16S-A-B7-L4_e0049-3-4-A-B7"	5067	0	0	0	0	0	0	0
"16S-A-B7-L5_e0050-A-3-5-A-B7"	1810	1869	2797	243	18	0	0	0
"16S-A-B7-L6_e0050-B-3-6-A-B7"	2528	2161	3214	145	21	0	0	0
"16S-A-B7-L7_e0050-8-7-A-B7"	1996	1676	2240	74	5	0	0	0
"16S-A-B8-L0_e0049-5-0-A-B8"	60	2	0	0	0	5	7	0
"16S-A-B8-L2_e0050-A-5-2-A-B8"	0	0	0	0	0	0	0	0
"16S-A-B8-L3_e0050-B-5-3-A-B8"	72	0	0	0	0	0	0	0
"16S-A-B8-L4_e0049-3-4-A-B8"	40	2	0	0	0	0	0	0
"16S-A-B8-L5_e0050-A-3-5-A-B8"	58	2	0	0	0	0	0	0
"16S-A-B8-L6_e0050-B-3-6-A-B8"	56	0	0	0	0	0	0	0
"16S-A-B9-L0_e0049-5-0-A-B9"	10018	0	0	0	0	0	0	0
"16S-A-B9-L1_e0049-8-1-A-B9"	15	0	0	0	0	0	0	0
"16S-A-B9-L2_e0050-A-5-2-A-B9"	0	0	0	0	0	0	0	0
"16S-A-B9-L3_e0050-B-5-3-A-B9"	5	0	0	0	0	0	0	0
"16S-A-B9-L4_e0049-3-4-A-B9"	6511	0	0	0	0	0	0	0
"16S-A-B9-L5_e0050-A-3-5-A-B9"	14	0	0	0	0	0	0	0
"16S-A-B9-L6_e0050-B-3-6-A-B9"	24	0	0	0	0	0	0	0
"16S-A-C1-L0_e0049-5-0-A-C1"	7388	0	0	0	0	0	0	0
"16S-A-C1-L1_e0049-8-1-A-C1"	5653	0	0	0	0	0	0	0
