rs1	rs2	rt1	rt3	passage	species	df	mutuallyInvasible	lowAbundance	1:1000	1000:1	doseDependence	sharedSratio	sharedTratio
0.5	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.533013312972023	0.990132101937716	1.8576123294498	0.7	0.25
0.65	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.643114062934908	0.990153308798155	1.53962316463662	0.538461538461539	0.25
0.8	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.754540195466717	0.990163141693058	1.31227355102083	0.4375	0.25
0.95	0.35	0.2	0.05	1	1	alldata	TRUE	FALSE	0.829621263089886	0.990168626798178	1.19351886318625	0.368421052631579	0.25
0.05	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.413832511679285	0.673383271164907	1.62718793753636	10	0.25
0.2	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.437423731683691	0.986371409436443	2.25495632264805	2.5	0.25
0.35	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.455399909636855	0.98972836188026	2.17331699224422	1.42857142857143	0.25
0.5	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.470964788026694	0.990030042916127	2.10213176884046	1	0.25
0.65	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.491624803587901	0.990106340387348	2.0139470855854	0.769230769230769	0.25
0.8	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.533089572215395	0.990136173855987	1.85735423362572	0.625	0.25
0.95	0.5	0.2	0.05	1	1	alldata	TRUE	FALSE	0.606521104990978	0.990150959463355	1.63250866509927	0.526315789473684	0.25
0.05	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.411735586094093	0.574129028748494	1.39441196762936	13	0.25
0.2	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.430896903378414	0.965372823745136	2.24038004491609	3.25	0.25
0.35	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.446218145621189	0.988436663658887	2.21514224232828	1.85714285714286	0.25
0.5	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.458653684759868	0.989745161474256	2.15793570260412	1.3	0.25
0.65	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.46952410456033	0.989998063986223	2.10851382148585	1	0.25
0.8	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.481345924519398	0.990081604283094	2.05690243512843	0.8125	0.25
0.95	0.65	0.2	0.05	1	1	alldata	TRUE	FALSE	0.499455801796572	0.990118441792889	1.9823945146525	0.684210526315789	0.25
0.05	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.410398325426086	0.536549269421416	1.30738659536283	16	0.25
0.2	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.426522835279486	0.881128310715721	2.06584088314603	4	0.25
0.35	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.439947139104174	0.98361500098257	2.23575723889334	2.28571428571429	0.25
0.5	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.451132685737571	0.988952370855455	2.19215410924745	1.6	0.25
0.65	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.460583870138297	0.989748733186049	2.14890011864476	1.23076923076923	0.25
0.8	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.468971760377561	0.98997124980443	2.11094000416447	1	0.25
0.95	0.8	0.2	0.05	1	1	alldata	TRUE	FALSE	0.477406250065957	0.990058615321664	2.073828348885	0.842105263157895	0.25
0.05	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.409471235131905	0.520987699195714	1.27234260796826	19	0.25
0.2	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.423385009785649	0.750081920400163	1.77163079245511	4.75	0.25
0.35	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.435307311458989	0.966790424856826	2.22093771321346	2.71428571428571	0.25
0.5	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.445507342658274	0.986762573996281	2.21491876678939	1.9	0.25
0.65	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.454257665196979	0.989175658791637	2.17756514546145	1.46153846153846	0.25
0.8	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.461859852079824	0.989748245680121	2.1429622887184	1.1875	0.25
0.95	0.95	0.2	0.05	1	1	alldata	TRUE	FALSE	0.468700793282091	0.989948595373943	2.11211205434878	1	0.25
0.05	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.922467581758086	0.990168456231264	1.07339106090227	1	0.142857142857143
0.2	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.958000639597813	0.990180121311565	1.03359025076148	0.25	0.142857142857143
0.35	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.965634220492634	0.990182050424257	1.02542145815742	0.142857142857143	0.142857142857143
0.5	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.969299479380881	0.990182992200466	1.02154495412803	0.1	0.142857142857143
0.65	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.971453436650277	0.990183571874543	1.01928052803936	0.0769230769230769	0.142857142857143
0.8	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.972865378034653	0.990183968991835	1.01780163149825	0.0625	0.142857142857143
0.95	0.05	0.35	0.05	1	1	alldata	TRUE	FALSE	0.973925627562844	0.990184261002552	1.01669391684496	0.0526315789473684	0.142857142857143
0.05	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.502920707175898	0.989354648239632	1.96721796124732	4	0.142857142857143
0.2	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.691726840799475	0.990144387278045	1.43140952306212	1	0.142857142857143
0.35	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.836867688283025	0.990166265997295	1.18318137963815	0.571428571428572	0.142857142857143
0.5	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.899252361890924	0.990173150949795	1.10110708952455	0.4	0.142857142857143
0.65	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.927627149828975	0.990176503393421	1.06742941231936	0.307692307692308	0.142857142857143
0.8	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.942513138056675	0.990178484364083	1.05057260677096	0.25	0.142857142857143
0.95	0.2	0.35	0.05	1	1	alldata	TRUE	FALSE	0.951317795651321	0.990179793880225	1.04085070037221	0.210526315789474	0.142857142857143
0.05	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.472960342309011	0.964042598164146	2.03831592614648	7	0.142857142857143
0.2	0.35	0.35	0.05	1	1	alldata	TRUE	FALSE	0.490139627662485	0.989966518031837	2.01976429196934	1.75	0.142857142857143
