inoculationReplicate	passage	ratio	label	group	mixtureType	combo	line	sample
1	3	100:1	XCA-100:1-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-100:1-XCB_3
1	3	1000:1	XCA-1000:1-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-1000:1-XCB_3
2	3	1:1	XCA-1:1-XCB	mixture	actual	XCA-XCB	actual-2	actual-2_XCA-1:1-XCB_3
2	3	1:10	XCA-1:10-XCB	mixture	actual	XCA-XCB	actual-2	actual-2_XCA-1:10-XCB_3
2	3	1:100	XCA-1:100-XCB	mixture	actual	XCA-XCB	actual-2	actual-2_XCA-1:100-XCB_3
2	3	1:1000	XCA-1:1000-XCB	mixture	actual	XCA-XCB	actual-2	actual-2_XCA-1:1000-XCB_3
2	3	10:1	XCA-10:1-XCB	mixture	actual	XCA-XCB	actual-2	actual-2_XCA-10:1-XCB_3
2	3	100:1	XCA-100:1-XCB	mixture	actual	XCA-XCB	actual-2	actual-2_XCA-100:1-XCB_3
2	3	1000:1	XCA-1000:1-XCB	mixture	actual	XCA-XCB	actual-2	actual-2_XCA-1000:1-XCB_3
3	3	1:1	XCA-1:1-XCB	mixture	actual	XCA-XCB	actual-3	actual-3_XCA-1:1-XCB_3
3	3	1:10	XCA-1:10-XCB	mixture	actual	XCA-XCB	actual-3	actual-3_XCA-1:10-XCB_3
3	3	1:100	XCA-1:100-XCB	mixture	actual	XCA-XCB	actual-3	actual-3_XCA-1:100-XCB_3
3	3	1:1000	XCA-1:1000-XCB	mixture	actual	XCA-XCB	actual-3	actual-3_XCA-1:1000-XCB_3
3	3	10:1	XCA-10:1-XCB	mixture	actual	XCA-XCB	actual-3	actual-3_XCA-10:1-XCB_3
3	3	100:1	XCA-100:1-XCB	mixture	actual	XCA-XCB	actual-3	actual-3_XCA-100:1-XCB_3
3	3	1000:1	XCA-1000:1-XCB	mixture	actual	XCA-XCB	actual-3	actual-3_XCA-1000:1-XCB_3
1	3	0:1	XCA-0:1-XCB	control	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-0:1-XCB_3
1	3	1:0	XCA-1:0-XCB	control	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-1:0-XCB_3
1	3	1:1	XCA-1:1-XCB	mixture	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-1:1-XCB_3
1	3	1:10	XCA-1:10-XCB	mixture	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-1:10-XCB_3
1	3	1:100	XCA-1:100-XCB	mixture	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-1:100-XCB_3
1	3	1:1000	XCA-1:1000-XCB	mixture	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-1:1000-XCB_3
1	3	10:1	XCA-10:1-XCB	mixture	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-10:1-XCB_3
1	3	100:1	XCA-100:1-XCB	mixture	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-100:1-XCB_3
1	3	1000:1	XCA-1000:1-XCB	mixture	theoretical	XCA-XCB	theoretical-1	theoretical-1_XCA-1000:1-XCB_3
2	3	0:1	XCA-0:1-XCB	control	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-0:1-XCB_3
2	3	1:0	XCA-1:0-XCB	control	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-1:0-XCB_3
2	3	1:1	XCA-1:1-XCB	mixture	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-1:1-XCB_3
2	3	1:10	XCA-1:10-XCB	mixture	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-1:10-XCB_3
2	3	1:100	XCA-1:100-XCB	mixture	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-1:100-XCB_3
2	3	1:1000	XCA-1:1000-XCB	mixture	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-1:1000-XCB_3
2	3	10:1	XCA-10:1-XCB	mixture	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-10:1-XCB_3
2	3	100:1	XCA-100:1-XCB	mixture	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-100:1-XCB_3
2	3	1000:1	XCA-1000:1-XCB	mixture	theoretical	XCA-XCB	theoretical-2	theoretical-2_XCA-1000:1-XCB_3
1	5	1:1	XCA-1:1-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-1:1-XCB_5
1	5	1:10	XCA-1:10-XCB	mixture	actual	XCA-XCB	actual-1	actual-1_XCA-1:10-XCB_5
