"Bacteria;Proteobacteria"	"Bacteria;Bacteroidota"	"Bacteria;Firmicutes"	"Bacteria;Desulfobacterota"	"Bacteria;Actinobacteriota"	"Bacteria;Verrucomicrobiota"	"Bacteria;Cyanobacteria"	"Bacteria;Planctomycetota"	"Bacteria;Fusobacteriota"
"16S-C-C7-L0_e0017-0-C-C7"	40808	65705	35952	337	482	0	0	0	0
"16S-C-C7-L1_e0017-1-C-C7"	33451	42551	41634	135	201	0	0	0	0
"16S-C-C7-L2_e0017-2-C-C7"	25324	27608	18981	111	385	0	0	0	0
"16S-C-C7-L3_e0017-3-C-C7"	43969	39177	37792	118	102	0	0	0	0
"16S-C-C8-L0_e0017-0-C-C8"	37800	63282	40744	198	402	0	0	0	0
"16S-C-C8-L1_e0017-1-C-C8"	44238	52720	24190	49	26	0	0	0	0
"16S-C-C8-L2_e0017-2-C-C8"	8788	19818	23619	65	107	0	0	0	0
"16S-C-C8-L3_e0017-3-C-C8"	28826	23469	22158	53	123	0	0	0	0
"16S-C-C9-L0_e0017-0-C-C9"	43895	82505	47349	276	641	0	0	0	0
"16S-C-C9-L1_e0017-1-C-C9"	70734	55389	38714	162	167	0	0	0	0
"16S-C-C9-L2_e0017-2-C-C9"	19642	21044	17856	78	198	0	0	0	0
"16S-C-C9-L3_e0017-3-C-C9"	53170	53294	37975	185	250	0	0	0	0
"16S-C-D1-L0_e0017-0-C-D1"	29436	82825	71591	161	442	0	0	0	0
"16S-C-D1-L1_e0017-1-C-D1"	53055	67643	41142	10	94	0	0	0	0
"16S-C-D1-L2_e0017-2-C-D1"	16350	26912	41184	62	277	0	0	0	0
"16S-C-D1-L3_e0017-3-C-D1"	32385	31109	30780	50	15	0	0	0	0
"16S-C-D10-L0_e0017-0-C-D10"	27742	47754	44405	145	253	0	0	0	0
"16S-C-D10-L1_e0017-1-C-D10"	58466	48816	65131	252	16	26	0	0	0
"16S-C-D10-L2_e0017-2-C-D10"	20439	41102	45428	191	275	0	0	0	0
"16S-C-D10-L3_e0017-3-C-D10"	45738	40893	53687	138	21	56	0	0	0
"16S-C-D11-L0_e0017-0-C-D11"	41896	72253	61021	212	77	0	0	0	0
"16S-C-D11-L1_e0017-1-C-D11"	46701	38265	50999	252	16	158	0	0	0
"16S-C-D11-L2_e0017-2-C-D11"	16654	26625	36615	145	90	0	0	0	0
"16S-C-D11-L3_e0017-3-C-D11"	63008	58739	28143	139	9	225	0	0	0
"16S-C-D12-L0_e0017-0-C-D12"	45668	54818	61118	203	142	0	0	0	0
"16S-C-D12-L1_e0017-1-C-D12"	48398	51738	56448	278	26	0	0	0	0
"16S-C-D12-L2_e0017-2-C-D12"	17216	24791	42510	119	213	0	0	0	0
