"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Firmicutes;Bacilli"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Cyanobacteria;Cyanobacteriia"	"Bacteria;Cyanobacteria;Vampirivibrionia"	"Bacteria;Actinobacteriota;Acidimicrobiia"	"Bacteria;Planctomycetota;Phycisphaerae"	"Bacteria;Fusobacteriota;Fusobacteriia"
"16S-D-E6-L1_e0017-1-D-E6"	13359	28564	26010	11122	418	116	47	11	0	0	0	0	0	0	0
"16S-D-E7-L1_e0017-1-D-E7"	22540	53797	42416	21603	651	170	89	14	0	0	0	0	0	0	0
"16S-D-E8-L1_e0017-1-D-E8"	23508	54953	47128	25425	675	91	84	0	0	0	0	0	0	0	0
"16S-D-E9-L1_e0017-1-D-E9"	23110	54269	47108	20671	606	158	235	19	0	0	0	0	0	0	0
"16S-D-F1-L1_e0017-1-D-F1"	34535	47641	34866	21776	2834	85	217	0	0	0	0	0	0	0	0
"16S-D-F10-L1_e0017-1-D-F10"	32375	38989	29994	20518	2475	104	144	8	0	0	0	0	0	0	0
"16S-D-F11-L1_e0017-1-D-F11"	39007	44760	35586	24699	1593	91	220	0	0	0	0	0	0	0	0
"16S-D-F12-L1_e0017-1-D-F12"	37509	49168	40906	18275	2767	134	198	0	0	0	0	0	0	0	0
"16S-D-F2-L1_e0017-1-D-F2"	42622	52274	37488	24973	2733	95	209	13	0	0	0	0	0	0	0
"16S-D-F3-L1_e0017-1-D-F3"	41238	50933	38822	29693	2695	115	212	6	0	0	0	0	0	0	0
"16S-D-F4-L1_e0017-1-D-F4"	33698	42043	32538	18383	1155	89	226	11	0	0	0	0	0	0	0
"16S-D-F5-L1_e0017-1-D-F5"	38605	47863	38457	21537	2270	110	242	7	0	0	0	0	0	0	0
"16S-D-F6-L1_e0017-1-D-F6"	41762	52866	40497	30653	1978	115	313	4	0	0	0	0	0	0	0
"16S-D-F7-L1_e0017-1-D-F7"	30033	39784	30703	18609	2437	91	210	3	0	0	0	0	0	0	0
"16S-D-F8-L1_e0017-1-D-F8"	38388	45689	33117	17397	2198	89	157	11	0	0	0	0	0	0	0
"16S-D-F9-L1_e0017-1-D-F9"	15995	19688	15358	11086	503	37	80	0	0	0	0	0	0	0	0
"16S-D-G1-L1_e0017-1-D-G1"	35615	44922	26870	42181	4424	107	95	5	0	0	0	0	0	0	0
"16S-D-G10-L1_e0017-1-D-G10"	35005	47851	22623	27147	3238	164	275	0	0	0	0	0	0	0	0
"16S-D-G11-L1_e0017-1-D-G11"	31578	41055	31152	24327	803	123	379	0	0	0	0	0	0	0	0
"16S-D-G12-L1_e0017-1-D-G12"	35376	45671	41232	21934	1132	0	80	0	0	2	0	0	0	0	0
"16S-D-G2-L1_e0017-1-D-G2"	15090	19616	12406	12870	2499	34	112	0	0	0	0	0	0	0	0
"16S-D-G3-L1_e0017-1-D-G3"	39769	50687	30474	31640	2962	175	235	6	0	0	0	0	0	0	0
"16S-D-G4-L1_e0017-1-D-G4"	38043	55795	34515	23809	4310	123	394	16	0	0	0	0	0	0	0
"16S-D-G5-L1_e0017-1-D-G5"	30195	47472	29082	21281	4156	140	207	0	0	0	0	0	0	0	0
"16S-D-G6-L1_e0017-1-D-G6"	42292	50891	31091	27510	2014	128	231	8	0	0	0	0	0	0	0
"16S-D-G7-L1_e0017-1-D-G7"	33707	48463	28224	22803	3600	147	261	0	0	0	0	0	0	0	0
"16S-D-G8-L1_e0017-1-D-G8"	48868	51465	27474	17716	3450	166	247	0	23	0	0	0	0	0	0
"16S-D-G9-L1_e0017-1-D-G9"	33513	51824	27345	23779	5773	173	274	0	0	0	0	0	0	0	0
"16S-D-H1-L1_e0017-1-D-H1"	809	456	213	266	2	0	0	0	0	39	0	0	0	0	0
"16S-D-H10-L1_e0017-1-D-H10"	41571	39823	29170	16024	999	139	61	0	0	0	0	0	0	0	0
"16S-D-H11-L1_e0017-1-D-H11"	43136	40632	38429	20708	870	89	16	6	0	0	0	0	0	0	0
"16S-D-H12-L1_e0017-1-D-H12"	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
"16S-D-H2-L1_e0017-1-D-H2"	41111	44301	26912	29088	1131	175	86	7	0	0	0	0	0	0	0
"16S-D-H3-L1_e0017-1-D-H3"	53274	63038	49162	7187	1889	75	249	4	0	0	0	0	0	0	0
"16S-D-H4-L1_e0017-1-D-H4"	33638	49977	35045	40021	1110	267	85	9	0	0	0	0	0	0	0
"16S-D-H5-L1_e0017-1-D-H5"	30673	39027	25554	39714	873	172	27	10	0	0	0	0	0	0	0
"16S-D-H6-L1_e0017-1-D-H6"	39879	58278	31649	35495	1110	265	42	14	0	0	0	0	0	0	0
"16S-D-H7-L1_e0017-1-D-H7"	34936	47730	34367	35101	986	371	64	14	0	0	0	0	0	0	0
"16S-D-H8-L1_e0017-1-D-H8"	44045	46196	31830	28317	1279	251	77	9	0	0	0	0	0	0	0
"16S-D-H9-L1_e0017-1-D-H9"	54974	53916	42731	33338	1529	181	80	9	0	0	0	0	0	0	0
