"Bacteria;Proteobacteria;Gammaproteobacteria"	"Bacteria;Bacteroidota;Bacteroidia"	"Bacteria;Firmicutes;Clostridia"	"Bacteria;Firmicutes;Bacilli"	"Bacteria;Firmicutes;Negativicutes"	"Bacteria;Desulfobacterota;Desulfovibrionia"	"Bacteria;Actinobacteriota;Coriobacteriia"	"Bacteria;Actinobacteriota;Actinobacteria"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae"	"Bacteria;Proteobacteria;Alphaproteobacteria"	"Bacteria;Cyanobacteria;Cyanobacteriia"	"Bacteria;Cyanobacteria;Vampirivibrionia"	"Bacteria;Actinobacteriota;Acidimicrobiia"	"Bacteria;Planctomycetota;Phycisphaerae"	"Bacteria;Fusobacteriota;Fusobacteriia"
"16S-C-B12-L1_e0017-1-C-B12"	31522	46230	35293	20152	1117	0	87	0	0	0	0	0	0	0	0
"16S-C-B12-L2_e0017-2-C-B12"	19289	35148	24125	5726	1234	41	109	0	0	0	0	0	0	0	0
"16S-C-B12-L3_e0017-3-C-B12"	20618	55625	32877	19217	847	0	166	0	0	0	0	0	0	0	0
"16S-C-B2-L0_e0017-0-C-B2"	25518	64211	36705	40883	549	117	144	96	0	0	0	0	0	0	0
"16S-C-B2-L1_e0017-1-C-B2"	31713	56854	42897	27542	1733	0	49	4	0	0	0	0	0	0	0
"16S-C-B2-L2_e0017-2-C-B2"	18835	28641	17608	14126	381	66	211	17	0	0	0	0	0	0	0
"16S-C-B2-L3_e0017-3-C-B2"	19283	34492	26390	23876	514	55	43	0	0	0	0	0	0	0	0
"16S-C-B3-L0_e0017-0-C-B3"	28590	69364	43069	12359	2124	26	10	9	0	0	0	0	0	0	0
"16S-C-B3-L1_e0017-1-C-B3"	32238	53542	38119	16743	1364	0	84	0	0	0	0	0	0	0	0
"16S-C-B3-L2_e0017-2-C-B3"	21312	36194	25435	20256	764	138	63	13	0	0	0	0	0	0	0
"16S-C-B3-L3_e0017-3-C-B3"	36292	52126	38580	28115	1273	0	58	0	0	0	0	0	0	0	0
"16S-C-B4-L0_e0017-0-C-B4"	56102	84510	57449	26718	1831	131	117	84	0	0	0	0	0	0	0
"16S-C-B4-L1_e0017-1-C-B4"	32353	77017	49384	29998	2775	24	43	12	0	0	0	0	0	0	0
"16S-C-B4-L2_e0017-2-C-B4"	17706	30268	21715	22081	612	111	93	10	0	0	0	0	0	0	0
"16S-C-B4-L3_e0017-3-C-B4"	29693	68817	42068	13295	1330	32	27	0	0	0	0	0	0	0	0
"16S-C-B5-L0_e0017-0-C-B5"	39016	57716	33794	21088	1162	168	114	34	0	0	0	0	0	0	0
"16S-C-B5-L1_e0017-1-C-B5"	22099	37454	24506	11277	1079	0	63	5	0	0	0	0	0	0	0
"16S-C-B5-L2_e0017-2-C-B5"	12745	26517	18241	20948	461	116	94	7	0	0	0	0	0	0	0
"16S-C-B5-L3_e0017-3-C-B5"	22029	35197	28843	8606	1133	3	44	0	0	0	0	0	0	0	0
"16S-C-B6-L0_e0017-0-C-B6"	38858	75664	43743	19011	1605	102	38	6	0	0	0	0	0	0	0
"16S-C-B6-L1_e0017-1-C-B6"	24615	34004	32024	22678	1252	0	46	0	0	0	0	0	0	0	0
"16S-C-B6-L2_e0017-2-C-B6"	13502	24861	17080	17882	538	31	44	6	0	0	0	0	0	0	0
"16S-C-B6-L3_e0017-3-C-B6"	36617	46742	35370	20213	1154	4	43	0	0	0	0	0	0	0	0
"16S-C-B7-L0_e0017-0-C-B7"	30750	56497	33929	19500	1077	99	37	11	0	0	0	0	0	0	0
"16S-C-B7-L1_e0017-1-C-B7"	32203	61100	40022	17649	2326	0	27	0	0	0	0	0	0	0	0
"16S-C-B7-L2_e0017-2-C-B7"	14556	27171	18656	17254	543	82	44	3	0	0	0	0	0	0	0
"16S-C-B7-L3_e0017-3-C-B7"	27824	39793	32749	19583	1089	0	61	0	0	0	0	0	0	0	0
"16S-C-B8-L0_e0017-0-C-B8"	33499	59248	38368	25846	1283	123	88	4	0	0	0	0	0	0	0
"16S-C-B8-L1_e0017-1-C-B8"	39019	52684	38998	27778	1596	24	88	0	0	0	0	0	0	0	0
"16S-C-B8-L2_e0017-2-C-B8"	12851	25167	14755	15038	392	60	44	0	0	0	0	0	0	0	0
"16S-C-B8-L3_e0017-3-C-B8"	28869	40239	29875	17500	1042	49	48	0	0	0	0	0	0	0	0
"16S-C-B9-L0_e0017-0-C-B9"	22442	43523	31103	18375	2696	0	93	8	0	0	0	0	0	0	0
"16S-C-B9-L1_e0017-1-C-B9"	17390	29595	22566	13363	770	0	29	0	0	0	0	0	0	0	0
"16S-C-B9-L2_e0017-2-C-B9"	7658	14184	9326	6732	921	0	36	0	0	0	0	0	0	0	0
"16S-C-B9-L3_e0017-3-C-B9"	20667	31853	25729	12326	563	0	65	0	0	0	0	0	0	0	0
"16S-C-C1-L0_e0017-0-C-C1"	33488	49388	26578	21957	4622	111	118	0	0	0	0	0	0	0	0
"16S-C-C1-L1_e0017-1-C-C1"	36481	45894	19443	41521	8513	142	225	4	0	0	0	0	0	0	0
"16S-C-C1-L2_e0017-2-C-C1"	14267	19606	17559	20554	787	68	70	0	0	0	0	0	0	0	0
"16S-C-C1-L3_e0017-3-C-C1"	27365	32450	21081	27349	3936	74	44	6	0	0	0	0	0	0	0
"16S-C-C10-L0_e0017-0-C-C10"	6371	8414	3759	1933	515	16	51	0	0	0	0	0	0	0	0
"16S-C-C10-L1_e0017-1-C-C10"	5368	5019	2594	1700	441	8	17	0	0	0	0	0	0	0	0
"16S-C-C10-L2_e0017-2-C-C10"	2868	2867	1610	575	82	11	17	0	0	0	0	0	0	0	0
"16S-C-C10-L3_e0017-3-C-C10"	5099	6139	3299	1375	598	27	10	0	0	0	0	0	0	0	0
"16S-C-C11-L0_e0017-0-C-C11"	58193	62862	27652	20593	6122	342	353	12	0	0	0	0	0	0	0
"16S-C-C11-L1_e0017-1-C-C11"	47544	48365	22228	14385	4065	130	222	0	0	0	0	0	0	0	0
"16S-C-C11-L2_e0017-2-C-C11"	27641	27994	13088	3214	1540	112	238	0	0	0	0	0	0	0	0
"16S-C-C11-L3_e0017-3-C-C11"	49344	44837	20961	6712	2711	119	94	0	0	0	0	0	0	0	3
"16S-C-C12-L0_e0017-0-C-C12"	37535	76040	44261	18983	3269	177	359	4	0	0	0	0	0	0	0
"16S-C-C12-L1_e0017-1-C-C12"	58521	47802	22990	16410	4540	130	199	0	0	0	0	0	0	0	0
"16S-C-C12-L2_e0017-2-C-C12"	21154	30167	20109	5638	1086	80	92	0	0	0	0	0	0	0	0
"16S-C-C12-L3_e0017-3-C-C12"	51634	53998	24088	11570	2603	0	112	0	0	0	0	0	0	0	0
"16S-C-C2-L0_e0017-0-C-C2"	31006	59297	40699	12403	1043	80	113	22	0	0	0	0	0	0	0
"16S-C-C2-L1_e0017-1-C-C2"	40065	60095	26251	34023	11590	153	426	4	0	0	0	0	0	0	0
"16S-C-C2-L2_e0017-2-C-C2"	23801	35063	26063	17393	745	116	140	13	0	0	0	0	0	0	0
"16S-C-C2-L3_e0017-3-C-C2"	32783	36102	20904	29428	3301	90	25	0	0	0	0	0	0	0	0
"16S-C-C3-L0_e0017-0-C-C3"	36095	53250	23028	16834	6982	277	423	13	0	0	0	0	0	0	0
"16S-C-C3-L1_e0017-1-C-C3"	49933	67579	27905	12256	9578	238	692	8	0	0	0	0	0	0	0
"16S-C-C3-L2_e0017-2-C-C3"	17831	27742	21794	16012	2488	94	180	0	0	0	0	0	0	0	0
"16S-C-C3-L3_e0017-3-C-C3"	31419	37457	30002	20722	3790	106	88	7	0	0	0	0	0	0	0
"16S-C-C4-L0_e0017-0-C-C4"	56151	80893	39847	13811	4874	332	537	10	0	0	0	0	0	0	0
"16S-C-C4-L1_e0017-1-C-C4"	49076	72333	29104	16556	11239	229	447	13	0	0	0	0	0	0	0
"16S-C-C4-L2_e0017-2-C-C4"	21490	33102	22167	18724	2687	115	252	4	0	0	0	0	0	0	0
"16S-C-C4-L3_e0017-3-C-C4"	46567	54329	30525	49128	5420	184	320	5	0	0	0	0	0	0	0
"16S-C-C5-L0_e0017-0-C-C5"	36197	75967	33834	13313	4069	127	633	21	0	0	0	0	0	0	0
"16S-C-C5-L1_e0017-1-C-C5"	31487	37712	16537	34810	8241	156	170	4	0	0	0	0	0	0	0
"16S-C-C5-L2_e0017-2-C-C5"	21303	33392	27658	9062	2151	99	262	8	0	0	0	0	0	0	0
"16S-C-C5-L3_e0017-3-C-C5"	32812	31864	19752	29533	3390	86	151	4	0	0	0	0	0	0	0
"16S-C-C6-L0_e0017-0-C-C6"	42589	76948	38131	7550	3912	273	413	21	0	0	0	0	0	0	0
"16S-C-C6-L1_e0017-1-C-C6"	51013	57897	22742	16339	5258	178	156	0	0	0	0	0	0	0	0
"16S-C-C6-L2_e0017-2-C-C6"	20822	41512	30784	10465	1195	113	163	0	0	0	0	0	0	0	0
"16S-C-C6-L3_e0017-3-C-C6"	51918	53773	23668	26818	3818	144	119	0	0	0	0	0	0	0	0
"16S-C-C7-L0_e0017-0-C-C7"	40808	65705	24537	8663	2752	337	466	16	0	0	0	0	0	0	0
"16S-C-C7-L1_e0017-1-C-C7"	33451	42551	20265	16803	4566	135	201	0	0	0	0	0	0	0	0
"16S-C-C7-L2_e0017-2-C-C7"	25324	27608	14079	3294	1608	111	385	0	0	0	0	0	0	0	0
"16S-C-C7-L3_e0017-3-C-C7"	43969	39177	22137	12400	3255	118	102	0	0	0	0	0	0	0	0
"16S-C-C8-L0_e0017-0-C-C8"	37800	63282	29775	7743	3226	198	402	0	0	0	0	0	0	0	0
"16S-C-C8-L1_e0017-1-C-C8"	44238	52720	14985	5096	4109	49	26	0	0	0	0	0	0	0	0
"16S-C-C8-L2_e0017-2-C-C8"	8788	19818	16438	6580	601	65	107	0	0	0	0	0	0	0	0
"16S-C-C8-L3_e0017-3-C-C8"	28826	23469	17148	3506	1504	53	123	0	0	0	0	0	0	0	0
"16S-C-C9-L0_e0017-0-C-C9"	43895	82505	32131	11529	3689	276	624	17	0	0	0	0	0	0	0
"16S-C-C9-L1_e0017-1-C-C9"	70734	55389	23266	10459	4989	162	163	4	0	0	0	0	0	0	0
"16S-C-C9-L2_e0017-2-C-C9"	19642	21044	13416	3599	841	78	198	0	0	0	0	0	0	0	0
"16S-C-C9-L3_e0017-3-C-C9"	53170	53294	26713	8556	2706	185	250	0	0	0	0	0	0	0	0
"16S-C-D1-L0_e0017-0-C-D1"	29436	82825	45193	25071	1327	161	300	142	0	0	0	0	0	0	0
"16S-C-D1-L1_e0017-1-C-D1"	53055	67643	21676	16759	2707	10	94	0	0	0	0	0	0	0	0
"16S-C-D1-L2_e0017-2-C-D1"	16350	26912	18886	21822	476	62	255	22	0	0	0	0	0	0	0
"16S-C-D1-L3_e0017-3-C-D1"	32385	31109	9508	20714	558	50	15	0	0	0	0	0	0	0	0
"16S-C-D10-L0_e0017-0-C-D10"	27742	47754	23009	20412	981	145	253	0	0	0	0	0	0	0	0
"16S-C-D10-L1_e0017-1-C-D10"	58466	48816	20350	42626	2155	252	16	0	26	0	0	0	0	0	0
"16S-C-D10-L2_e0017-2-C-D10"	20439	41102	26999	17578	851	191	275	0	0	0	0	0	0	0	0
"16S-C-D10-L3_e0017-3-C-D10"	45738	40893	16816	35403	1468	138	21	0	56	0	0	0	0	0	0
"16S-C-D11-L0_e0017-0-C-D11"	41896	72253	35725	23466	1830	212	77	0	0	0	0	0	0	0	0
"16S-C-D11-L1_e0017-1-C-D11"	46701	38265	14357	34885	1757	252	16	0	158	0	0	0	0	0	0
"16S-C-D11-L2_e0017-2-C-D11"	16654	26625	17545	18480	590	145	90	0	0	0	0	0	0	0	0
"16S-C-D11-L3_e0017-3-C-D11"	63008	58739	16245	9740	2158	139	9	0	225	0	0	0	0	0	0
"16S-C-D12-L0_e0017-0-C-D12"	45668	54818	30425	26097	4596	203	136	6	0	0	0	0	0	0	0
"16S-C-D12-L1_e0017-1-C-D12"	48398	51738	21647	32788	2013	278	26	0	0	0	0	0	0	0	0
"16S-C-D12-L2_e0017-2-C-D12"	17216	24791	20853	20683	974	119	213	0	0	0	0	0	0	0	0
"16S-C-D12-L3_e0017-3-C-D12"	45880	44872	16326	36139	1767	176	18	0	0	0	0	0	0	0	0
"16S-C-D2-L0_e0017-0-C-D2"	20203	31587	13508	19101	2515	104	354	0	0	0	0	0	0	0	0
"16S-C-D2-L1_e0017-1-C-D2"	67093	62577	16924	26457	3002	176	67	0	0	0	0	0	0	0	0
"16S-C-D2-L2_e0017-2-C-D2"	21473	31257	17445	10189	752	77	153	0	0	0	0	0	0	0	0
"16S-C-D2-L3_e0017-3-C-D2"	49453	43775	22162	23202	1380	116	91	0	0	0	0	0	0	0	0
"16S-C-D3-L0_e0017-0-C-D3"	41259	64606	34338	32170	2002	280	402	0	0	0	0	0	0	0	0
"16S-C-D3-L1_e0017-1-C-D3"	52267	44791	22704	34277	1673	289	112	0	39	0	0	0	0	0	0
"16S-C-D3-L2_e0017-2-C-D3"	21945	29027	17753	12954	592	103	168	4	0	0	0	0	0	0	0
"16S-C-D3-L3_e0017-3-C-D3"	43515	47343	15734	38340	1083	239	77	0	116	0	0	0	0	0	0
