"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales"	"Bacteria;Firmicutes;Clostridia;Lachnospirales"	"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales"	"Bacteria;Firmicutes;Clostridia;Oscillospirales"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales"	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales"	"Bacteria;Firmicutes;Clostridia;Eubacteriales"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales"	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales"	"Bacteria;Firmicutes;Clostridia;Christensenellales"	"Bacteria;Firmicutes;Clostridia;Clostridiales"	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast"	"Bacteria;Firmicutes;Bacilli;Staphylococcales"	"Bacteria;Firmicutes;Bacilli;Thermicanales"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales"	"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales"	"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales"	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales"	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154"	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales"	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales"
"16S-C-E10-L3_e0017-3-C-E10"	29033	47823	14767	20537	1241	20140	435	4961	816	0	216	86	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E11-L0_e0017-0-C-E11"	27723	46625	18008	10902	6401	27736	2390	7480	881	101	73	258	27	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E11-L1_e0017-1-C-E11"	21716	42463	21022	14542	13869	5990	10658	3410	1802	3	376	9	63	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E11-L2_e0017-2-C-E11"	19340	29400	5446	10468	7983	7741	6649	3697	603	0	111	102	25	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E11-L3_e0017-3-C-E11"	26679	36184	13251	13708	3850	13823	8423	1837	823	0	170	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E12-L0_e0017-0-C-E12"	24665	59060	4561	25263	11814	10264	12587	5658	1374	0	14	243	315	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E12-L1_e0017-1-C-E12"	35955	47231	26352	15706	15575	9039	7169	3247	2104	4	208	0	38	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E12-L2_e0017-2-C-E12"	12986	35562	8524	11791	8581	7652	7611	4236	885	0	242	117	206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E12-L3_e0017-3-C-E12"	18615	42085	12927	14482	1927	15727	9543	2369	705	0	231	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E2-L0_e0017-0-C-E2"	14621	27760	2301	7154	8819	1561	5805	3234	783	3969	9	113	187	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E2-L1_e0017-1-C-E2"	23844	29437	13878	6051	3196	7996	0	7138	860	0	308	148	26	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E2-L2_e0017-2-C-E2"	9643	16778	4607	5820	9149	1605	4922	2469	427	816	38	63	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E2-L3_e0017-3-C-E2"	19466	27624	10600	8950	3756	7374	402	6867	723	0	497	119	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E3-L0_e0017-0-C-E3"	15030	29686	10618	7678	3259	8234	305	3698	464	974	32	48	29	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E3-L1_e0017-1-C-E3"	34420	53197	19304	14498	6155	12920	8046	5938	1391	33	269	184	59	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E3-L2_e0017-2-C-E3"	9556	28989	6481	10181	15100	4114	8119	5391	481	13	214	103	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E3-L3_e0017-3-C-E3"	30179	36624	12654	12404	15544	7290	9354	5563	585	3	605	141	29	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E4-L0_e0017-0-C-E4"	24158	44769	20362	9844	5850	10424	14	6557	794	1138	54	90	49	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E4-L1_e0017-1-C-E4"	34289	51774	18538	14634	3103	13611	10393	3695	1813	0	230	231	62	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E4-L2_e0017-2-C-E4"	7743	22253	7693	6259	9688	3755	5479	5133	376	83	189	93	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E4-L3_e0017-3-C-E4"	25513	35406	13410	13490	4701	7596	10247	2798	1055	0	289	149	34	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E5-L0_e0017-0-C-E5"	25254	54349	14176	13011	1903	15784	335	6062	735	1559	26	83	41	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E5-L1_e0017-1-C-E5"	29089	39469	18841	9489	2811	12362	235	3392	1452	0	166	133	41	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E5-L2_e0017-2-C-E5"	6162	32240	8692	8073	16729	4082	9547	5938	580	133	257	90	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E5-L3_e0017-3-C-E5"	15673	28550	11031	10465	2469	6563	7258	2539	766	0	254	120	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E6-L0_e0017-0-C-E6"	22805	45636	13687	10511	1955	21534	34	6274	674	666	23	115	42	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E6-L1_e0017-1-C-E6"	35482	56784	26343	14620	2768	17595	34	5046	1842	8	447	103	134	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E6-L2_e0017-2-C-E6"	9485	31280	9814	8434	10888	7588	6281	6728	613	0	68	99	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E6-L3_e0017-3-C-E6"	25274	36100	14477	11980	2404	12073	16	2415	841	0	332	176	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E7-L0_e0017-0-C-E7"	25809	60736	18828	14005	1241	25574	13	6366	817	612	23	92	59	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E7-L1_e0017-1-C-E7"	30601	34781	21859	7991	4464	12392	0	3453	1593	0	194	153	34	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E7-L2_e0017-2-C-E7"	14226	27360	7424	6815	8102	5812	3069	5176	566	6	109	86	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E7-L3_e0017-3-C-E7"	27518	41151	14508	14012	2957	15486	0	3345	874	0	232	147	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E8-L0_e0017-0-C-E8"	29781	50395	15208	18276	3409	13423	4093	6833	1223	1400	25	71	62	35	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E8-L1_e0017-1-C-E8"	20875	27897	14316	6607	5402	7535	0	4620	1114	0	116	63	34	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E8-L2_e0017-2-C-E8"	3525	19202	4639	5950	12962	2103	6556	3741	371	658	116	62	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E8-L3_e0017-3-C-E8"	18839	27737	9084	7353	1727	10619	0	6218	673	0	173	54	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E9-L0_e0017-0-C-E9"	34161	52837	25031	9352	4268	16078	25	7039	934	83	242	174	58	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E9-L1_e0017-1-C-E9"	25575	37747	18786	10205	5922	7532	0	3217	1189	0	260	122	61	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E9-L2_e0017-2-C-E9"	13517	27309	6336	8473	16557	4420	6355	5802	503	0	215	87	40	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-E9-L3_e0017-3-C-E9"	33439	48662	15436	20599	3954	15093	10	4693	918	0	489	182	118	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F1-L0_e0017-0-C-F1"	31033	57928	1651	18674	687	21027	1973	4055	496	2191	202	98	72	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F1-L1_e0017-1-C-F1"	22058	49264	10969	15887	5000	12753	11603	3941	1617	3260	70	107	113	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F1-L2_e0017-2-C-F1"	11350	24872	4768	8846	7752	5740	7076	2808	672	0	178	62	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F1-L3_e0017-3-C-F1"	15080	47213	12610	14992	9613	11855	11584	6323	1491	3459	126	69	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F10-L0_e0017-0-C-F10"	28702	66874	20081	16477	9978	9652	15323	6145	1778	9277	129	201	167	44	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F10-L1_e0017-1-C-F10"	30626	62774	25812	12905	5053	8446	8071	5071	3606	5777	173	149	419	13	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F10-L2_e0017-2-C-F10"	11717	40750	14387	11719	15595	2965	13305	5522	858	11	368	144	259	42	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F10-L3_e0017-3-C-F10"	20169	38776	14691	12558	13570	5331	6949	2700	1391	2565	184	82	46	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F11-L0_e0017-0-C-F11"	31858	79541	22912	22365	18747	11830	21181	6203	2036	10174	150	203	133	37	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F11-L1_e0017-1-C-F11"	20727	58280	18538	15060	7775	8093	11577	4204	3317	8968	85	133	175	9	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F11-L2_e0017-2-C-F11"	10611	32076	10300	8784	11397	3512	8897	6229	711	93	255	103	214	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F11-L3_e0017-3-C-F11"	18767	43287	14254	16865	16249	6442	9074	3324	1237	1868	436	66	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F12-L0_e0017-0-C-F12"	34260	55417	2628	20760	20303	2227	6698	3511	1431	0	886	185	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F12-L1_e0017-1-C-F12"	22027	43484	15091	14234	8132	5741	9307	3097	2219	7888	89	95	108	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F12-L2_e0017-2-C-F12"	13161	37838	989	11392	5865	2469	11933	3720	2411	0	352	125	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F12-L3_e0017-3-C-F12"	12512	34563	12257	10872	1339	11469	7969	2922	1223	960	65	53	19	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F2-L0_e0017-0-C-F2"	2567	4612	86	2023	3037	331	388	197	136	15	285	10	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F2-L1_e0017-1-C-F2"	3660	7971	2078	2321	1241	1737	1407	485	237	379	11	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F2-L2_e0017-2-C-F2"	3278	4259	809	1824	1509	620	1146	173	102	133	23	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F2-L3_e0017-3-C-F2"	3869	6292	2126	1974	2235	925	898	438	186	461	9	4	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F3-L0_e0017-0-C-F3"	13465	37524	13297	10849	7564	4483	6639	3734	840	547	227	66	109	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F3-L1_e0017-1-C-F3"	14886	35513	9428	10828	6138	8307	8232	2604	1254	2939	56	87	91	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F3-L2_e0017-2-C-F3"	7010	18976	4885	7129	8705	2136	5784	1933	365	72	67	65	115	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F3-L3_e0017-3-C-F3"	13992	26206	8992	8668	11322	2764	4167	1988	788	2128	147	31	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F4-L0_e0017-0-C-F4"	23657	65350	14232	18404	5020	6796	8627	5941	1444	723	219	48	126	41	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F4-L1_e0017-1-C-F4"	17584	47412	16345	13575	11559	4647	11587	3886	2237	3047	256	107	170	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F4-L2_e0017-2-C-F4"	7815	24941	8215	7427	10660	1794	7759	2322	555	17	198	82	85	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F4-L3_e0017-3-C-F4"	22577	47804	12491	16961	7354	3172	7325	3322	1686	706	129	45	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F5-L0_e0017-0-C-F5"	19050	59639	16993	12993	2356	9179	8949	5236	1215	3050	95	31	140	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F5-L1_e0017-1-C-F5"	18684	46641	14467	10597	4125	4951	7907	3021	2257	3620	119	75	127	8	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F5-L2_e0017-2-C-F5"	11319	27816	8599	9985	8088	4278	7957	2695	558	516	38	63	113	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F5-L3_e0017-3-C-F5"	26793	63184	25468	16906	24145	6232	11433	5450	2018	2409	505	148	122	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F6-L0_e0017-0-C-F6"	16637	54988	12572	14566	977	10355	7900	4857	1148	2372	57	54	146	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F6-L1_e0017-1-C-F6"	16164	33666	15682	6996	12067	3534	6293	8055	1630	2896	110	67	66	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F6-L2_e0017-2-C-F6"	7092	23074	8120	6503	7086	2430	6897	2231	554	73	89	56	115	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F6-L3_e0017-3-C-F6"	16643	35277	13354	10473	19766	3163	7876	9466	1131	1139	588	77	85	9	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F7-L0_e0017-0-C-F7"	20991	67687	18248	16217	1995	15041	10493	5933	1597	2975	43	17	214	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F7-L1_e0017-1-C-F7"	19667	48594	19668	14802	9091	12629	12617	3754	2201	3990	32	116	175	7	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F7-L2_e0017-2-C-F7"	10803	33927	11831	9717	12472	3145	10086	3011	787	46	175	102	170	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F7-L3_e0017-3-C-F7"	16858	45995	14954	15711	13234	7887	9340	3513	1409	3106	50	106	97	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F8-L0_e0017-0-C-F8"	21352	62104	12937	14174	1156	9099	7370	5457	1114	3740	25	29	166	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F8-L1_e0017-1-C-F8"	19134	53132	18507	17153	9098	4745	12466	3715	2310	3956	150	136	109	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F8-L2_e0017-2-C-F8"	11303	36383	14481	8928	16277	2906	10059	3449	726	110	287	123	208	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F8-L3_e0017-3-C-F8"	23431	36157	13162	8893	11225	3684	5856	3209	1274	1582	342	108	76	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F9-L0_e0017-0-C-F9"	22165	62161	11866	18603	2677	9500	8590	5908	1684	4681	55	53	273	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F9-L1_e0017-1-C-F9"	20874	38580	14258	8614	12279	3169	9186	2869	1711	3315	203	120	151	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F9-L2_e0017-2-C-F9"	7234	45401	15700	10414	22628	1404	17407	10312	757	58	616	179	349	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-F9-L3_e0017-3-C-F9"	22445	43351	14739	13003	18730	4955	7838	3502	1350	498	278	123	105	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G1-L0_e0017-0-C-G1"	28534	44644	3008	19448	13614	7029	8101	6528	1080	0	98	197	51	9	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G1-L1_e0017-1-C-G1"	29926	46540	1632	20808	19341	3042	9520	2750	1779	5333	0	156	236	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G1-L2_e0017-2-C-G1"	11621	29278	868	8551	22680	2467	3810	4254	543	0	621	113	78	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G1-L3_e0017-3-C-G1"	15574	23852	1101	10457	17015	1382	4018	1377	1004	2489	0	56	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G10-L0_e0017-0-C-G10"	20964	48135	208	22893	4168	5413	10763	2791	1618	3162	0	67	30	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G10-L1_e0017-1-C-G10"	21735	51003	113	18537	4438	9631	6995	2846	1543	1794	0	107	124	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G10-L2_e0017-2-C-G10"	7472	18051	2135	8039	7473	1366	5639	1809	673	95	119	96	273	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G10-L3_e0017-3-C-G10"	25448	28357	491	11558	15729	2596	3513	1984	959	1727	0	131	96	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G11-L0_e0017-0-C-G11"	15305	40028	113	19190	1342	3351	7059	2367	1415	3153	0	45	14	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G11-L1_e0017-1-C-G11"	10969	28297	1096	11260	3486	7014	4934	1500	1009	1310	0	7	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G11-L2_e0017-2-C-G11"	4754	16767	1886	7925	5102	2051	5526	1732	533	13	128	65	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G11-L3_e0017-3-C-G11"	10344	18370	6429	6329	11414	1413	2780	1842	626	62	24	54	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G12-L0_e0017-0-C-G12"	23321	40617	203	18156	3901	12055	6498	6040	851	1058	22	107	37	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G12-L1_e0017-1-C-G12"	17768	32977	3175	15604	3100	5928	4978	1748	1017	979	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G12-L2_e0017-2-C-G12"	4920	21165	4698	9330	6613	4430	6497	4735	646	0	112	64	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G12-L3_e0017-3-C-G12"	13917	26375	12228	11158	8205	5572	4315	2456	1031	22	513	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G2-L0_e0017-0-C-G2"	19808	54334	20	27212	25660	7586	4552	3832	1087	0	201	341	159	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G2-L1_e0017-1-C-G2"	36264	54095	2343	26875	28717	3100	11802	2832	2151	5225	0	170	191	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G2-L2_e0017-2-C-G2"	23946	34555	31	13448	17679	3189	4437	1475	671	0	282	122	105	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G2-L3_e0017-3-C-G2"	28180	33022	805	14882	17164	2164	4640	1633	1434	3718	5	64	32	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G3-L0_e0017-0-C-G3"	21819	44614	1461	20728	16366	5214	14113	3401	1465	7448	11	176	208	16	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G3-L1_e0017-1-C-G3"	27535	49075	1433	22491	26020	3488	11489	2806	1945	5156	0	177	205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G3-L2_e0017-2-C-G3"	10633	26108	636	10197	19316	1259	6874	1684	740	1067	387	79	108	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G3-L3_e0017-3-C-G3"	25859	39725	1448	17341	22385	2318	6094	3044	1273	2329	0	146	46	11	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G4-L0_e0017-0-C-G4"	18192	48644	184	19373	11597	2598	9799	2410	1715	3559	0	79	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G4-L1_e0017-1-C-G4"	22270	42061	1082	16851	12148	3138	7039	2426	2038	1949	0	112	247	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G4-L2_e0017-2-C-G4"	9569	20982	199	7095	16592	712	5479	4486	527	1473	249	58	90	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G4-L3_e0017-3-C-G4"	24082	32249	1628	12877	18411	1803	4664	2573	1303	2151	0	119	59	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G5-L0_e0017-0-C-G5"	28934	93176	3869	27996	9484	9403	11879	6496	1641	5031	29	93	326	4	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-G5-L1_e0017-1-C-G5"	63124	130067	1044	54485	24632	13895	25943	7049	4749	6580	7	332	562	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
