"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales"	"Bacteria;Bacteroidota;Bacteroidia;Bacteroidales"	"Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales"	"Bacteria;Firmicutes;Clostridia;Lachnospirales"	"Bacteria;Firmicutes;Bacilli;Lactobacillales"	"Bacteria;Firmicutes;Bacilli;Erysipelotrichales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales"	"Bacteria;Firmicutes;Clostridia;Oscillospirales"	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales"	"Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales"	"Bacteria;Firmicutes;Clostridia;Eubacteriales"	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales"	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales"	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales"	"Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales"	"Bacteria;Firmicutes;Clostridia;Christensenellales"	"Bacteria;Firmicutes;Clostridia;Clostridiales"	"Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales"	"Bacteria;Firmicutes;Bacilli;Bacillales"	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast"	"Bacteria;Firmicutes;Bacilli;Staphylococcales"	"Bacteria;Firmicutes;Bacilli;Thermicanales"	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales"	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales"	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales"	"Bacteria;Firmicutes;Bacilli;Thermoactinomycetales"	"Bacteria;Cyanobacteria;Vampirivibrionia;Obscuribacterales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Micavibrionales"	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales"	"Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales"	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales"	"Bacteria;Proteobacteria;Gammaproteobacteria;Run-SP154"	"Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales"	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales"
"16S-C-A5-L2_e0017-2-C-A5"	2145	15183	3785	4920	6451	1768	3900	2369	427	0	135	43	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A5-L3_e0017-3-C-A5"	13690	21409	4826	6302	2580	5423	3483	3530	444	76	4	61	21	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L0_e0017-0-C-A6"	33500	65658	20509	15585	13606	27107	992	12463	1279	2520	64	170	58	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L1_e0017-1-C-A6"	50081	61445	12280	9110	34923	4709	0	11713	1331	2123	0	153	47	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L2_e0017-2-C-A6"	4906	32339	4637	12293	15537	5286	13443	4018	734	581	176	83	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A6-L3_e0017-3-C-A6"	43254	56534	13110	13533	6790	16343	242	9157	1171	1100	0	165	27	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L0_e0017-0-C-A7"	27457	54341	14340	12423	5610	20646	2011	10264	1322	1887	38	167	35	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L1_e0017-1-C-A7"	31134	47432	7878	8337	14029	5264	0	6861	991	390	0	80	51	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L2_e0017-2-C-A7"	14436	37749	7768	11247	13510	5378	8423	6243	1020	6	209	97	11	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A7-L3_e0017-3-C-A7"	39799	60737	16181	15176	7024	18075	0	8285	1088	0	0	155	71	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L0_e0017-0-C-A8"	31058	50767	14471	11098	10627	18690	309	11415	600	1555	8	185	68	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L1_e0017-1-C-A8"	42190	46656	9202	10012	9050	6239	0	6856	1104	1218	0	100	73	9	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L2_e0017-2-C-A8"	11039	37146	5744	13174	10181	8120	10349	3899	629	0	83	107	22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A8-L3_e0017-3-C-A8"	27841	43202	9564	9489	2817	11802	0	5226	739	8	0	42	13	4	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L0_e0017-0-C-A9"	24206	37671	9875	8488	7559	12623	356	8850	662	1304	17	139	81	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L1_e0017-1-C-A9"	31706	40791	6571	8307	7822	5375	0	6673	810	0	0	100	59	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L2_e0017-2-C-A9"	8564	20318	2551	6737	4645	2376	4373	2011	422	0	29	36	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-A9-L3_e0017-3-C-A9"	30101	32457	7318	8494	977	7453	3	4645	541	0	0	56	29	8	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B1-L0_e0017-0-C-B1"	30968	56625	11793	8871	13174	6226	1019	10027	594	2644	45	199	84	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B1-L1_e0017-1-C-B1"	26544	53743	14366	19209	6203	10050	0	4057	1884	0	52	0	21	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B1-L2_e0017-2-C-B1"	3454	23129	6845	5743	19452	2077	7959	4400	489	6	317	77	86	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B1-L3_e0017-3-C-B1"	10429	25119	8038	8830	16919	2891	0	1694	288	0	353	17	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L0_e0017-0-C-B10"	12650	31948	6442	10070	5679	7013	5155	4025	792	2524	76	7	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L1_e0017-1-C-B10"	12654	21380	8295	7047	7281	5206	0	1551	628	924	57	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L2_e0017-2-C-B10"	3620	13084	2766	3930	7065	1137	3532	2236	232	626	55	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B10-L3_e0017-3-C-B10"	12781	29839	6364	8964	744	10287	188	2461	594	862	74	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L0_e0017-0-C-B11"	27473	70742	22354	22015	7575	18849	15332	6011	1545	204	335	266	126	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L1_e0017-1-C-B11"	53694	76404	25653	18957	4538	14777	0	11901	4668	0	33	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L2_e0017-2-C-B11"	10108	47806	10885	13894	9532	4322	16909	3382	1100	0	238	129	269	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B11-L3_e0017-3-C-B11"	42737	58407	17890	17878	5243	24107	214	12321	1439	0	94	8	90	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L0_e0017-0-C-B12"	24324	76190	11516	22297	3469	11352	9210	6818	780	0	75	86	209	21	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L1_e0017-1-C-B12"	29373	46228	14266	17953	11746	8406	2147	2978	1111	6	90	0	87	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L2_e0017-2-C-B12"	4983	35148	6606	14505	813	4913	14306	2977	1229	5	37	41	109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B12-L3_e0017-3-C-B12"	17204	55625	11830	15974	6998	12219	3414	4871	847	0	190	0	166	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L0_e0017-0-C-B2"	24336	64211	12042	10339	36610	4271	1182	14300	542	7	24	117	144	75	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L1_e0017-1-C-B2"	31471	56854	20496	17205	17818	9724	242	5070	1733	0	116	0	49	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L2_e0017-2-C-B2"	8004	28641	6004	7429	10566	3560	10831	4016	373	8	159	66	211	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B2-L3_e0017-3-C-B2"	14652	34492	11265	13206	19374	4502	4631	1511	514	0	408	55	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"16S-C-B3-L0_e0017-0-C-B3"	26556	69364	21940	18037	2664	9695	2034	3083	2124	0	9	26	10	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
