sample reads.in reads.out
16S-C-D10-L0_e0017-0-C-D10.fastq.gz 180074 172286
16S-C-D10-L1_e0017-1-C-D10.fastq.gz 267010 254915
16S-C-D10-L2_e0017-2-C-D10.fastq.gz 185815 178807
16S-C-D10-L3_e0017-3-C-D10.fastq.gz 219779 210777
16S-C-D11-L0_e0017-0-C-D11.fastq.gz 276981 264308
16S-C-D11-L1_e0017-1-C-D11.fastq.gz 229796 218704
16S-C-D11-L2_e0017-2-C-D11.fastq.gz 139088 133464
16S-C-D11-L3_e0017-3-C-D11.fastq.gz 184669 176856
16S-C-D12-L0_e0017-0-C-D12.fastq.gz 274030 262266
16S-C-D12-L1_e0017-1-C-D12.fastq.gz 243381 232588
16S-C-D12-L2_e0017-2-C-D12.fastq.gz 149474 143895
16S-C-D12-L3_e0017-3-C-D12.fastq.gz 202787 194406
16S-C-D2-L0_e0017-0-C-D2.fastq.gz 133190 126427
16S-C-D2-L1_e0017-1-C-D2.fastq.gz 275490 261009
16S-C-D2-L2_e0017-2-C-D2.fastq.gz 136939 130867
16S-C-D2-L3_e0017-3-C-D2.fastq.gz 209999 200004
16S-C-D3-L0_e0017-0-C-D3.fastq.gz 273672 261267
16S-C-D3-L1_e0017-1-C-D3.fastq.gz 247476 235528
16S-C-D3-L2_e0017-2-C-D3.fastq.gz 145652 139761
16S-C-D3-L3_e0017-3-C-D3.fastq.gz 198090 189504
16S-C-D4-L0_e0017-0-C-D4.fastq.gz 295935 283796
16S-C-D4-L1_e0017-1-C-D4.fastq.gz 252210 241263
16S-C-D4-L2_e0017-2-C-D4.fastq.gz 134355 129330
16S-C-D4-L3_e0017-3-C-D4.fastq.gz 266675 256541
16S-C-D5-L0_e0017-0-C-D5.fastq.gz 133039 124866
16S-C-D5-L1_e0017-1-C-D5.fastq.gz 74251 69182
16S-C-D5-L2_e0017-2-C-D5.fastq.gz 58841 54535
16S-C-D5-L3_e0017-3-C-D5.fastq.gz 49871 47004
16S-C-D6-L0_e0017-0-C-D6.fastq.gz 222156 212496
16S-C-D6-L1_e0017-1-C-D6.fastq.gz 214607 205255
16S-C-D6-L2_e0017-2-C-D6.fastq.gz 134170 129053
16S-C-D6-L3_e0017-3-C-D6.fastq.gz 200489 192345
16S-C-D7-L0_e0017-0-C-D7.fastq.gz 165399 156242
16S-C-D7-L1_e0017-1-C-D7.fastq.gz 276838 260002
16S-C-D7-L2_e0017-2-C-D7.fastq.gz 154296 144819
16S-C-D7-L3_e0017-3-C-D7.fastq.gz 222261 210461
16S-C-D8-L0_e0017-0-C-D8.fastq.gz 230909 222371
16S-C-D8-L1_e0017-1-C-D8.fastq.gz 201895 194377
16S-C-D8-L2_e0017-2-C-D8.fastq.gz 111727 108225
16S-C-D8-L3_e0017-3-C-D8.fastq.gz 211597 204292
16S-C-D9-L0_e0017-0-C-D9.fastq.gz 199575 189386
16S-C-D9-L1_e0017-1-C-D9.fastq.gz 200032 189648
16S-C-D9-L2_e0017-2-C-D9.fastq.gz 141937 134845
16S-C-D9-L3_e0017-3-C-D9.fastq.gz 191742 182696
16S-C-E1-L0_e0017-0-C-E1.fastq.gz 255882 244019
16S-C-E1-L1_e0017-1-C-E1.fastq.gz 234965 224666
16S-C-E1-L2_e0017-2-C-E1.fastq.gz 147111 141197
16S-C-E1-L3_e0017-3-C-E1.fastq.gz 183273 175864
16S-C-E10-L0_e0017-0-C-E10.fastq.gz 232641 219672
16S-C-E10-L1_e0017-1-C-E10.fastq.gz 239403 225476
16S-C-E10-L2_e0017-2-C-E10.fastq.gz 179470 170319
16S-C-E10-L3_e0017-3-C-E10.fastq.gz 222115 210845
16S-C-E11-L0_e0017-0-C-E11.fastq.gz 229168 218925
16S-C-E11-L1_e0017-1-C-E11.fastq.gz 253210 241457
16S-C-E11-L2_e0017-2-C-E11.fastq.gz 173180 166606
16S-C-E11-L3_e0017-3-C-E11.fastq.gz 202190 194229
16S-C-E12-L0_e0017-0-C-E12.fastq.gz 247167 234854
16S-C-E12-L1_e0017-1-C-E12.fastq.gz 295875 281051
16S-C-E12-L2_e0017-2-C-E12.fastq.gz 177582 169385
16S-C-E12-L3_e0017-3-C-E12.fastq.gz 194821 185808
16S-C-E2-L0_e0017-0-C-E2.fastq.gz 117346 111936
16S-C-E2-L1_e0017-1-C-E2.fastq.gz 152718 145428
16S-C-E2-L2_e0017-2-C-E2.fastq.gz 97540 93447
16S-C-E2-L3_e0017-3-C-E2.fastq.gz 122215 117177
16S-C-E3-L0_e0017-0-C-E3.fastq.gz 121070 116117
16S-C-E3-L1_e0017-1-C-E3.fastq.gz 277811 266438
16S-C-E3-L2_e0017-2-C-E3.fastq.gz 161075 155521
16S-C-E3-L3_e0017-3-C-E3.fastq.gz 214121 206223
16S-C-E4-L0_e0017-0-C-E4.fastq.gz 191150 182090
16S-C-E4-L1_e0017-1-C-E4.fastq.gz 273539 260383
16S-C-E4-L2_e0017-2-C-E4.fastq.gz 121769 116678
16S-C-E4-L3_e0017-3-C-E4.fastq.gz 176656 169285
16S-C-E5-L0_e0017-0-C-E5.fastq.gz 214168 201902
16S-C-E5-L1_e0017-1-C-E5.fastq.gz 204938 192618
16S-C-E5-L2_e0017-2-C-E5.fastq.gz 172589 162095
16S-C-E5-L3_e0017-3-C-E5.fastq.gz 139032 131730
16S-C-E6-L0_e0017-0-C-E6.fastq.gz 193108 184672
16S-C-E6-L1_e0017-1-C-E6.fastq.gz 249916 238523
16S-C-E6-L2_e0017-2-C-E6.fastq.gz 164297 157913
16S-C-E6-L3_e0017-3-C-E6.fastq.gz 162378 155881
16S-C-E7-L0_e0017-0-C-E7.fastq.gz 238877 227293
16S-C-E7-L1_e0017-1-C-E7.fastq.gz 211584 200503
16S-C-E7-L2_e0017-2-C-E7.fastq.gz 139905 134146
16S-C-E7-L3_e0017-3-C-E7.fastq.gz 191271 181861
16S-C-E8-L0_e0017-0-C-E8.fastq.gz 225262 214446
16S-C-E8-L1_e0017-1-C-E8.fastq.gz 152489 144754
16S-C-E8-L2_e0017-2-C-E8.fastq.gz 107498 102735
16S-C-E8-L3_e0017-3-C-E8.fastq.gz 129912 124172
16S-C-E9-L0_e0017-0-C-E9.fastq.gz 218987 209715
16S-C-E9-L1_e0017-1-C-E9.fastq.gz 189460 180992
16S-C-E9-L2_e0017-2-C-E9.fastq.gz 164833 158520
16S-C-E9-L3_e0017-3-C-E9.fastq.gz 200770 192986
16S-C-F1-L0_e0017-0-C-F1.fastq.gz 224833 214764
16S-C-F1-L1_e0017-1-C-F1.fastq.gz 249516 238091
16S-C-F1-L2_e0017-2-C-F1.fastq.gz 118745 114109
16S-C-F1-L3_e0017-3-C-F1.fastq.gz 188469 180512
16S-C-F10-L0_e0017-0-C-F10.fastq.gz 329835 314285
16S-C-F10-L1_e0017-1-C-F10.fastq.gz 298376 283519
16S-C-F10-L2_e0017-2-C-F10.fastq.gz 216373 207142
16S-C-F10-L3_e0017-3-C-F10.fastq.gz 196435 187609
16S-C-F11-L0_e0017-0-C-F11.fastq.gz 414968 393851
16S-C-F11-L1_e0017-1-C-F11.fastq.gz 294691 279361
16S-C-F11-L2_e0017-2-C-F11.fastq.gz 167409 160264
16S-C-F11-L3_e0017-3-C-F11.fastq.gz 215380 205612
16S-C-F12-L0_e0017-0-C-F12.fastq.gz 223585 211737
16S-C-F12-L1_e0017-1-C-F12.fastq.gz 258092 243419
16S-C-F12-L2_e0017-2-C-F12.fastq.gz 152668 143985
16S-C-F12-L3_e0017-3-C-F12.fastq.gz 159815 151983
16S-C-F2-L0_e0017-0-C-F2.fastq.gz 20767 19524
16S-C-F2-L1_e0017-1-C-F2.fastq.gz 36551 34299
16S-C-F2-L2_e0017-2-C-F2.fastq.gz 22129 20722
16S-C-F2-L3_e0017-3-C-F2.fastq.gz 29092 27421
16S-C-F3-L0_e0017-0-C-F3.fastq.gz 157510 149265
16S-C-F3-L1_e0017-1-C-F3.fastq.gz 182700 172808
16S-C-F3-L2_e0017-2-C-F3.fastq.gz 93120 88739
16S-C-F3-L3_e0017-3-C-F3.fastq.gz 125189 118988
16S-C-F4-L0_e0017-0-C-F4.fastq.gz 259742 243662
16S-C-F4-L1_e0017-1-C-F4.fastq.gz 241998 226990
16S-C-F4-L2_e0017-2-C-F4.fastq.gz 122980 115301
16S-C-F4-L3_e0017-3-C-F4.fastq.gz 180396 170172
16S-C-F5-L0_e0017-0-C-F5.fastq.gz 231010 221148
16S-C-F5-L1_e0017-1-C-F5.fastq.gz 208233 199276
16S-C-F5-L2_e0017-2-C-F5.fastq.gz 145538 139755
16S-C-F5-L3_e0017-3-C-F5.fastq.gz 273477 262765
16S-C-F6-L0_e0017-0-C-F6.fastq.gz 215016 202397
16S-C-F6-L1_e0017-1-C-F6.fastq.gz 198177 185749
16S-C-F6-L2_e0017-2-C-F6.fastq.gz 110974 103643
16S-C-F6-L3_e0017-3-C-F6.fastq.gz 174110 164566
16S-C-F7-L0_e0017-0-C-F7.fastq.gz 275681 262050
16S-C-F7-L1_e0017-1-C-F7.fastq.gz 294569 279660
16S-C-F7-L2_e0017-2-C-F7.fastq.gz 162364 155245
16S-C-F7-L3_e0017-3-C-F7.fastq.gz 218061 208436
16S-C-F8-L0_e0017-0-C-F8.fastq.gz 231147 222161
16S-C-F8-L1_e0017-1-C-F8.fastq.gz 269697 259851
16S-C-F8-L2_e0017-2-C-F8.fastq.gz 185776 180034
16S-C-F8-L3_e0017-3-C-F8.fastq.gz 164481 158835
16S-C-F9-L0_e0017-0-C-F9.fastq.gz 249430 239084
16S-C-F9-L1_e0017-1-C-F9.fastq.gz 219172 209702
16S-C-F9-L2_e0017-2-C-F9.fastq.gz 233598 224854
16S-C-F9-L3_e0017-3-C-F9.fastq.gz 193848 186559
16S-C-G1-L0_e0017-0-C-G1.fastq.gz 223784 214526
16S-C-G1-L1_e0017-1-C-G1.fastq.gz 256024 244776
16S-C-G1-L2_e0017-2-C-G1.fastq.gz 139962 134233
16S-C-G1-L3_e0017-3-C-G1.fastq.gz 121789 116876
16S-C-G10-L0_e0017-0-C-G10.fastq.gz 194787 184617
16S-C-G10-L1_e0017-1-C-G10.fastq.gz 212507 201219
16S-C-G10-L2_e0017-2-C-G10.fastq.gz 105652 99913
16S-C-G10-L3_e0017-3-C-G10.fastq.gz 137514 131202
16S-C-G11-L0_e0017-0-C-G11.fastq.gz 148367 139644
16S-C-G11-L1_e0017-1-C-G11.fastq.gz 125699 117925
16S-C-G11-L2_e0017-2-C-G11.fastq.gz 87766 82223
16S-C-G11-L3_e0017-3-C-G11.fastq.gz 98686 93358
16S-C-G12-L0_e0017-0-C-G12.fastq.gz 177730 169189
16S-C-G12-L1_e0017-1-C-G12.fastq.gz 162197 153764
16S-C-G12-L2_e0017-2-C-G12.fastq.gz 111800 106769
16S-C-G12-L3_e0017-3-C-G12.fastq.gz 123015 116985
16S-C-G2-L0_e0017-0-C-G2.fastq.gz 242462 231459
16S-C-G2-L1_e0017-1-C-G2.fastq.gz 320880 306404
16S-C-G2-L2_e0017-2-C-G2.fastq.gz 173540 166894
16S-C-G2-L3_e0017-3-C-G2.fastq.gz 178100 170640
16S-C-G3-L0_e0017-0-C-G3.fastq.gz 226481 216163
16S-C-G3-L1_e0017-1-C-G3.fastq.gz 288893 275768
16S-C-G3-L2_e0017-2-C-G3.fastq.gz 147345 141357
16S-C-G3-L3_e0017-3-C-G3.fastq.gz 187886 180013
16S-C-G4-L0_e0017-0-C-G4.fastq.gz 194541 184410
16S-C-G4-L1_e0017-1-C-G4.fastq.gz 201016 190155
16S-C-G4-L2_e0017-2-C-G4.fastq.gz 132685 126144
16S-C-G4-L3_e0017-3-C-G4.fastq.gz 159234 151405
16S-C-G5-L0_e0017-0-C-G5.fastq.gz 322640 308038
16S-C-G5-L1_e0017-1-C-G5.fastq.gz 622684 593652
16S-C-G5-L2_e0017-2-C-G5.fastq.gz 146800 140758
16S-C-G5-L3_e0017-3-C-G5.fastq.gz 147818 141361
16S-C-G6-L0_e0017-0-C-G6.fastq.gz 244120 228588
16S-C-G6-L1_e0017-1-C-G6.fastq.gz 401078 374135
16S-C-G6-L2_e0017-2-C-G6.fastq.gz 164083 152641
16S-C-G6-L3_e0017-3-C-G6.fastq.gz 175186 164963
16S-C-G7-L0_e0017-0-C-G7.fastq.gz 217698 207007
16S-C-G7-L1_e0017-1-C-G7.fastq.gz 367184 349384
16S-C-G7-L2_e0017-2-C-G7.fastq.gz 136735 130726
16S-C-G7-L3_e0017-3-C-G7.fastq.gz 173590 166052
16S-C-G8-L0_e0017-0-C-G8.fastq.gz 195077 186397
16S-C-G8-L1_e0017-1-C-G8.fastq.gz 198873 189930
16S-C-G8-L2_e0017-2-C-G8.fastq.gz 141245 135367
16S-C-G8-L3_e0017-3-C-G8.fastq.gz 137597 132145
16S-C-G9-L0_e0017-0-C-G9.fastq.gz 312720 298886
16S-C-G9-L1_e0017-1-C-G9.fastq.gz 425425 406196
16S-C-G9-L2_e0017-2-C-G9.fastq.gz 219744 210871
