sample reads.in reads.out
16S-A-C5-L0_e0049-5-0-A-C5.fastq.gz 18233 17655
16S-A-C5-L1_e0049-8-1-A-C5.fastq.gz 11416 11077
16S-A-C5-L2_e0050-A-5-2-A-C5.fastq.gz 32115 31200
16S-A-C5-L3_e0050-B-5-3-A-C5.fastq.gz 36198 35191
16S-A-C5-L4_e0049-3-4-A-C5.fastq.gz 10441 10103
16S-A-C5-L5_e0050-A-3-5-A-C5.fastq.gz 16520 16119
16S-A-C5-L6_e0050-B-3-6-A-C5.fastq.gz 12552 12218
16S-A-C5-L7_e0050-8-7-A-C5.fastq.gz 16053 15603
16S-A-C6-L0_e0049-5-0-A-C6.fastq.gz 10929 10587
16S-A-C6-L1_e0049-8-1-A-C6.fastq.gz 7592 7360
16S-A-C6-L2_e0050-A-5-2-A-C6.fastq.gz 18957 18079
16S-A-C6-L3_e0050-B-5-3-A-C6.fastq.gz 15855 15091
16S-A-C6-L4_e0049-3-4-A-C6.fastq.gz 37 20
16S-A-C6-L5_e0050-A-3-5-A-C6.fastq.gz 11602 11154
16S-A-C6-L6_e0050-B-3-6-A-C6.fastq.gz 31 29
16S-A-C6-L7_e0050-8-7-A-C6.fastq.gz 12333 11831
16S-A-C7-L0_e0049-5-0-A-C7.fastq.gz 11854 11551
16S-A-C7-L1_e0049-8-1-A-C7.fastq.gz 8302 8056
16S-A-C7-L2_e0050-A-5-2-A-C7.fastq.gz 26561 25701
16S-A-C7-L3_e0050-B-5-3-A-C7.fastq.gz 27362 26612
16S-A-C7-L4_e0049-3-4-A-C7.fastq.gz 10000 9701
16S-A-C7-L5_e0050-A-3-5-A-C7.fastq.gz 9425 9185
16S-A-C7-L6_e0050-B-3-6-A-C7.fastq.gz 12452 12068
16S-A-C7-L7_e0050-8-7-A-C7.fastq.gz 18771 18233
16S-A-C8-L0_e0049-5-0-A-C8.fastq.gz 34 32
16S-A-C8-L1_e0049-8-1-A-C8.fastq.gz 0 0
16S-A-C8-L2_e0050-A-5-2-A-C8.fastq.gz 2 1
16S-A-C8-L3_e0050-B-5-3-A-C8.fastq.gz 0 0
16S-A-C8-L4_e0049-3-4-A-C8.fastq.gz 19 16
16S-A-C8-L5_e0050-A-3-5-A-C8.fastq.gz 13 13
16S-A-C8-L6_e0050-B-3-6-A-C8.fastq.gz 37 37
16S-A-C8-L7_e0050-8-7-A-C8.fastq.gz 0 0
16S-A-C9-L0_e0049-5-0-A-C9.fastq.gz 12081 11749
16S-A-C9-L1_e0049-8-1-A-C9.fastq.gz 4487 4376
16S-A-C9-L2_e0050-A-5-2-A-C9.fastq.gz 34 28
16S-A-C9-L3_e0050-B-5-3-A-C9.fastq.gz 38 35
16S-A-C9-L4_e0049-3-4-A-C9.fastq.gz 8161 7912
16S-A-C9-L5_e0050-A-3-5-A-C9.fastq.gz 57 52
16S-A-C9-L6_e0050-B-3-6-A-C9.fastq.gz 111 102
16S-A-C9-L7_e0050-8-7-A-C9.fastq.gz 1 0
16S-A-D1-L0_e0049-5-0-A-D1.fastq.gz 8661 8129
16S-A-D1-L1_e0049-8-1-A-D1.fastq.gz 5625 5287
16S-A-D1-L2_e0050-A-5-2-A-D1.fastq.gz 21927 20588
16S-A-D1-L3_e0050-B-5-3-A-D1.fastq.gz 17854 16809
16S-A-D1-L4_e0049-3-4-A-D1.fastq.gz 4808 4515
16S-A-D1-L5_e0050-A-3-5-A-D1.fastq.gz 15664 14868
16S-A-D1-L6_e0050-B-3-6-A-D1.fastq.gz 18465 17448
16S-A-D1-L7_e0050-8-7-A-D1.fastq.gz 13341 12588
16S-A-D10-L0_e0049-5-0-A-D10.fastq.gz 11996 11611
16S-A-D10-L1_e0049-8-1-A-D10.fastq.gz 6833 6602
16S-A-D10-L2_e0050-A-5-2-A-D10.fastq.gz 20194 19023
16S-A-D10-L3_e0050-B-5-3-A-D10.fastq.gz 30976 29596
16S-A-D10-L4_e0049-3-4-A-D10.fastq.gz 8006 7733
16S-A-D10-L5_e0050-A-3-5-A-D10.fastq.gz 8411 7911
16S-A-D10-L6_e0050-B-3-6-A-D10.fastq.gz 10279 9793
16S-A-D10-L7_e0050-8-7-A-D10.fastq.gz 10446 9930
16S-A-D11-L0_e0049-5-0-A-D11.fastq.gz 12741 12418
16S-A-D11-L1_e0049-8-1-A-D11.fastq.gz 8754 8511
16S-A-D11-L2_e0050-A-5-2-A-D11.fastq.gz 28644 27815
16S-A-D11-L3_e0050-B-5-3-A-D11.fastq.gz 32353 31431
16S-A-D11-L4_e0049-3-4-A-D11.fastq.gz 8627 8360
16S-A-D11-L5_e0050-A-3-5-A-D11.fastq.gz 12797 12436
16S-A-D11-L6_e0050-B-3-6-A-D11.fastq.gz 14654 14207
16S-A-D11-L7_e0050-8-7-A-D11.fastq.gz 18963 18392
16S-A-D12-L0_e0049-5-0-A-D12.fastq.gz 16063 15564
16S-A-D12-L1_e0049-8-1-A-D12.fastq.gz 7074 6875
16S-A-D12-L2_e0050-A-5-2-A-D12.fastq.gz 23039 21634
16S-A-D12-L3_e0050-B-5-3-A-D12.fastq.gz 21642 20583
16S-A-D12-L4_e0049-3-4-A-D12.fastq.gz 11765 11348
16S-A-D12-L5_e0050-A-3-5-A-D12.fastq.gz 12469 11672
16S-A-D12-L6_e0050-B-3-6-A-D12.fastq.gz 10326 9825
16S-A-D12-L7_e0050-8-7-A-D12.fastq.gz 14501 13561
16S-A-D2-L0_e0049-5-0-A-D2.fastq.gz 12823 12438
16S-A-D2-L1_e0049-8-1-A-D2.fastq.gz 12011 11635
16S-A-D2-L2_e0050-A-5-2-A-D2.fastq.gz 29150 27823
16S-A-D2-L3_e0050-B-5-3-A-D2.fastq.gz 0 0
16S-A-D2-L4_e0049-3-4-A-D2.fastq.gz 7810 7518
16S-A-D2-L5_e0050-A-3-5-A-D2.fastq.gz 19679 18872
16S-A-D2-L6_e0050-B-3-6-A-D2.fastq.gz 18858 18097
16S-A-D2-L7_e0050-8-7-A-D2.fastq.gz 19636 18868
16S-A-D3-L0_e0049-5-0-A-D3.fastq.gz 7302 7073
16S-A-D3-L1_e0049-8-1-A-D3.fastq.gz 6580 6347
16S-A-D3-L2_e0050-A-5-2-A-D3.fastq.gz 14108 13146
16S-A-D3-L3_e0050-B-5-3-A-D3.fastq.gz 14087 13291
16S-A-D3-L4_e0049-3-4-A-D3.fastq.gz 6403 6170
16S-A-D3-L5_e0050-A-3-5-A-D3.fastq.gz 9252 8711
16S-A-D3-L6_e0050-B-3-6-A-D3.fastq.gz 10772 10191
16S-A-D3-L7_e0050-8-7-A-D3.fastq.gz 14276 13556
16S-A-D4-L0_e0049-5-0-A-D4.fastq.gz 10473 10136
16S-A-D4-L1_e0049-8-1-A-D4.fastq.gz 11393 10988
16S-A-D4-L2_e0050-A-5-2-A-D4.fastq.gz 82 80
16S-A-D4-L3_e0050-B-5-3-A-D4.fastq.gz 38 34
16S-A-D4-L4_e0049-3-4-A-D4.fastq.gz 55 40
16S-A-D4-L5_e0050-A-3-5-A-D4.fastq.gz 114 112
16S-A-D4-L6_e0050-B-3-6-A-D4.fastq.gz 69 67
16S-A-D4-L7_e0050-8-7-A-D4.fastq.gz 1 0
16S-A-D5-L0_e0049-5-0-A-D5.fastq.gz 16342 15925
16S-A-D5-L1_e0049-8-1-A-D5.fastq.gz 12159 11854
16S-A-D5-L2_e0050-A-5-2-A-D5.fastq.gz 32055 31051
16S-A-D5-L3_e0050-B-5-3-A-D5.fastq.gz 1952 1897
16S-A-D5-L4_e0049-3-4-A-D5.fastq.gz 9563 9275
16S-A-D5-L5_e0050-A-3-5-A-D5.fastq.gz 22862 22214
16S-A-D5-L6_e0050-B-3-6-A-D5.fastq.gz 16270 15802
16S-A-D5-L7_e0050-8-7-A-D5.fastq.gz 21293 20707
16S-A-D6-L0_e0049-5-0-A-D6.fastq.gz 12857 12489
16S-A-D6-L1_e0049-8-1-A-D6.fastq.gz 11415 11109
16S-A-D6-L2_e0050-A-5-2-A-D6.fastq.gz 25157 24042
16S-A-D6-L3_e0050-B-5-3-A-D6.fastq.gz 28487 26954
16S-A-D6-L4_e0049-3-4-A-D6.fastq.gz 8410 8112
16S-A-D6-L5_e0050-A-3-5-A-D6.fastq.gz 14554 13925
16S-A-D6-L6_e0050-B-3-6-A-D6.fastq.gz 12252 11663
16S-A-D6-L7_e0050-8-7-A-D6.fastq.gz 14386 13810
16S-A-D7-L0_e0049-5-0-A-D7.fastq.gz 14387 14005
16S-A-D7-L1_e0049-8-1-A-D7.fastq.gz 13216 12870
16S-A-D7-L2_e0050-A-5-2-A-D7.fastq.gz 35821 34597
