sample reads.in reads.out
16S-A-H5-L7_e0050-8-7-A-H5.fastq.gz 59095 57415
16S-A-H6-L0_e0049-5-0-A-H6.fastq.gz 17768 17260
16S-A-H6-L1_e0049-8-1-A-H6.fastq.gz 9482 9221
16S-A-H6-L2_e0050-A-5-2-A-H6.fastq.gz 27066 26253
16S-A-H6-L3_e0050-B-5-3-A-H6.fastq.gz 34229 33261
16S-A-H6-L4_e0049-3-4-A-H6.fastq.gz 7671 7477
16S-A-H6-L5_e0050-A-3-5-A-H6.fastq.gz 66144 64318
16S-A-H6-L6_e0050-B-3-6-A-H6.fastq.gz 49614 48081
16S-A-H6-L7_e0050-8-7-A-H6.fastq.gz 52354 50851
16S-A-H7-L0_e0049-5-0-A-H7.fastq.gz 13418 12890
16S-A-H7-L1_e0049-8-1-A-H7.fastq.gz 3862 3723
16S-A-H7-L2_e0050-A-5-2-A-H7.fastq.gz 25337 24367
16S-A-H7-L3_e0050-B-5-3-A-H7.fastq.gz 31122 29967
16S-A-H7-L4_e0049-3-4-A-H7.fastq.gz 7845 7527
16S-A-H7-L5_e0050-A-3-5-A-H7.fastq.gz 68807 66405
16S-A-H7-L6_e0050-B-3-6-A-H7.fastq.gz 56739 54619
16S-A-H7-L7_e0050-8-7-A-H7.fastq.gz 61145 59071
16S-A-H8-L0_e0049-5-0-A-H8.fastq.gz 82 71
16S-A-H8-L1_e0049-8-1-A-H8.fastq.gz 3 0
16S-A-H8-L2_e0050-A-5-2-A-H8.fastq.gz 41 39
16S-A-H8-L3_e0050-B-5-3-A-H8.fastq.gz 4 4
16S-A-H8-L4_e0049-3-4-A-H8.fastq.gz 9 3
16S-A-H8-L5_e0050-A-3-5-A-H8.fastq.gz 119 117
16S-A-H8-L6_e0050-B-3-6-A-H8.fastq.gz 455 442
16S-A-H8-L7_e0050-8-7-A-H8.fastq.gz 5 0
16S-A-H9-L0_e0049-5-0-A-H9.fastq.gz 105 88
16S-A-H9-L1_e0049-8-1-A-H9.fastq.gz 6 0
16S-A-H9-L2_e0050-A-5-2-A-H9.fastq.gz 27 19
16S-A-H9-L3_e0050-B-5-3-A-H9.fastq.gz 11 8
16S-A-H9-L4_e0049-3-4-A-H9.fastq.gz 12 2
16S-A-H9-L5_e0050-A-3-5-A-H9.fastq.gz 145 139
16S-A-H9-L6_e0050-B-3-6-A-H9.fastq.gz 511 490
16S-A-H9-L7_e0050-8-7-A-H9.fastq.gz 18 0
